State  Frequency(eV)  OscillatorStrength  TransitionMoment_x  y  z  Trans.Dipole.Mom.(D) e-size(A)  RMS_e-h(A)  QTa  LOCa
1 1015.7196 0.0190466409 0.0174 0.0214 -0.0025 0.070319 1.518307 1.633441 0.000206 0.0552
2 1017.4445 0.0038531418 0.0102 0.0067 -0.0023 0.031601 2.188723 2.368942 0.000184 0.0325
3 1018.0521 0.0013311586 -0.0070 -0.0020 0.0006 0.018569 1.812481 2.893029 0.000150 0.0272
4 1018.6537 0.0000433866 0.0013 0.0002 0.0001 0.003351 1.038472 3.620530 0.000024 0.0066
5 1018.9155 0.0001183893 0.0019 0.0011 -0.0001 0.005535 0.664370 3.679768 0.000023 0.0048
6 1020.3886 0.0018473327 -0.0005 0.0085 -0.0011 0.021850 1.345107 2.704705 0.000378 0.0308
7 1020.7764 0.0007963993 0.0042 0.0037 0.0002 0.014343 1.458703 1.540158 0.000107 0.0233
8 1021.3907 0.0017206487 0.0062 -0.0055 0.0004 0.021077 1.311195 2.776989 0.000240 0.0208
9 1022.1001 0.0078449556 0.0036 -0.0171 0.0025 0.044989 2.151873 2.204216 0.000427 0.0414
10 1022.7347 0.0054016024 0.0016 -0.0145 0.0018 0.037319 1.796241 2.439981 0.000296 0.0314
11 1023.5998 0.0000781780 0.0012 -0.0010 0.0008 0.004488 2.098927 2.767646 0.000083 0.0212
12 1023.7209 0.0006146661 0.0018 0.0046 0.0003 0.012583 2.535452 3.178269 0.000188 0.0234
13 1023.8079 0.0012926452 -0.0001 0.0071 0.0008 0.018247 2.446016 2.822986 0.000274 0.0306
14 1025.1288 0.0013553130 0.0059 0.0041 -0.0016 0.018672 1.255943 1.272474 0.000369 0.0728
15 1027.4183 0.0000623007 -0.0002 -0.0016 0.0000 0.003999 0.662246 2.806643 0.000036 0.0035
16 1028.8549 0.0006164004 0.0046 0.0018 -0.0002 0.012569 2.097580 2.986155 0.000137 0.0218
17 1029.3053 0.0013796699 0.0045 0.0059 0.0001 0.018800 2.321626 2.384004 0.000203 0.0212
18 1031.6075 0.0051160758 -0.0114 -0.0081 0.0023 0.036163 1.766101 2.243795 0.000428 0.0504
19 1031.7804 0.0000539893 -0.0010 -0.0010 0.0003 0.003715 0.719549 3.667055 0.000038 0.0034
20 1033.0858 0.0000504404 -0.0009 -0.0011 0.0004 0.003588 0.860260 3.668021 0.000046 0.0038
21 1034.2529 0.0004400523 0.0007 0.0040 0.0008 0.010592 1.238046 2.818623 0.000187 0.0144
22 1035.3627 0.0023292303 -0.0085 -0.0043 -0.0010 0.024356 1.246761 1.285063 0.000329 0.0301
23 1035.4467 0.0000129633 -0.0001 0.0001 0.0007 0.001817 1.344735 2.592107 0.000055 0.0072
24 1037.0611 0.0011402221 -0.0061 -0.0026 0.0005 0.017027 1.878200 2.713822 0.000039 0.0103
25 1037.7429 0.0017882321 -0.0076 -0.0028 0.0022 0.021317 1.530738 1.584872 0.000313 0.0267
26 1039.1038 0.0038472126 -0.0102 -0.0068 0.0009 0.031246 1.575981 1.826729 0.000151 0.0270
27 1044.3281 0.0000009554 0.0002 -0.0001 0.0000 0.000491 0.718989 3.791360 0.000010 0.0029
28 1045.1104 0.0000035757 -0.0001 -0.0003 0.0002 0.000950 0.625683 3.706683 0.000010 0.0021
29 1045.7511 0.0000323450 -0.0006 -0.0009 0.0003 0.002856 0.913445 3.006507 0.000015 0.0080
30 1046.0037 0.0000270223 0.0002 -0.0007 -0.0007 0.002610 0.957162 2.658425 0.000018 0.0023
31 1046.2298 0.0000108122 -0.0000 0.0006 -0.0001 0.001651 0.738617 3.643641 0.000019 0.0028
32 1046.3080 0.0000021349 -0.0002 -0.0002 -0.0001 0.000734 0.712720 3.593690 0.000016 0.0018
33 1046.9755 0.0000090842 0.0004 0.0003 -0.0003 0.001513 0.778628 2.828206 0.000023 0.0045
34 1048.0936 0.0000028636 -0.0000 0.0001 -0.0003 0.000849 0.796850 2.825891 0.000020 0.0025
35 1049.1286 0.0000606515 0.0002 -0.0002 -0.0015 0.003904 1.225697 2.892754 0.000014 0.0042
36 1049.8024 0.0005490505 0.0010 0.0016 -0.0042 0.011744 1.963714 2.603039 0.000100 0.0127
37 1050.2777 0.0008591823 -0.0011 -0.0008 0.0056 0.014687 2.007214 2.276028 0.000046 0.0152
38 1051.4901 0.0004953600 -0.0024 -0.0033 -0.0017 0.011146 1.490687 2.631913 0.000023 0.0125
39 1051.8504 0.0000068688 -0.0001 -0.0004 -0.0002 0.001312 0.729220 3.670641 0.000018 0.0020
40 1052.3368 0.0002140121 -0.0008 0.0003 0.0028 0.007323 1.521186 1.629825 0.000024 0.0070
41 1053.9122 0.0001987783 -0.0010 -0.0026 -0.0001 0.007052 1.622639 2.537486 0.000176 0.0214
42 1055.1582 0.0004261765 0.0012 0.0014 -0.0036 0.010320 1.924077 2.050397 0.000248 0.0334
43 1055.2555 0.0000484744 0.0003 0.0004 -0.0013 0.003480 1.342343 3.499961 0.000085 0.0102
44 1057.8834 0.0026951432 0.0002 -0.0023 -0.0099 0.025919 1.522011 1.549079 0.000156 0.0280
45 1059.7750 0.0003202667 -0.0005 -0.0032 -0.0013 0.008927 2.143702 2.287606 0.000152 0.0261
46 1059.9233 0.0005312417 -0.0007 -0.0026 -0.0036 0.011496 1.637640 2.899224 0.000028 0.0192
47 1062.8722 0.0018495503 0.0056 0.0057 0.0027 0.021421 1.447379 2.822223 0.000107 0.0158
48 1065.0556 0.0014113417 0.0059 -0.0032 0.0029 0.018693 1.088798 1.172676 0.000398 0.0575
49 1080.2182 0.0005790928 -0.0024 0.0040 -0.0004 0.011890 2.122245 3.350526 0.000238 0.0398
50 1080.5477 0.0004128623 -0.0017 0.0036 -0.0003 0.010038 2.290798 2.906843 0.000216 0.0399
51 1082.0845 0.0055529747 -0.0105 0.0100 -0.0008 0.036786 1.358496 1.400973 0.000560 0.1004
52 1083.9629 0.0000672767 -0.0005 -0.0015 -0.0000 0.004046 0.861065 2.873792 0.000040 0.0086
53 1084.8885 0.0004615032 -0.0041 -0.0003 0.0004 0.010591 0.999169 3.011862 0.000036 0.0093
54 1085.7927 0.0000029036 0.0003 0.0000 -0.0000 0.000840 0.768188 3.646530 0.000011 0.0013
55 1089.5748 0.0116946170 0.0207 0.0032 -0.0000 0.053201 0.971944 1.017024 0.000336 0.0442
56 1091.3179 0.0003867192 0.0038 -0.0003 0.0002 0.009667 0.832967 3.017350 0.000072 0.0088
57 1109.5873 0.0090841664 -0.0001 0.0126 -0.0132 0.046464 0.880881 0.892561 0.000048 0.0264
58 1111.5675 0.0070311701 -0.0001 0.0144 0.0072 0.040841 1.215439 1.225127 0.000065 0.0269
59 1113.9950 0.0000953908 -0.0004 -0.0014 -0.0011 0.004752 0.907448 2.955278 0.000018 0.0055
60 1115.0544 0.0000022316 -0.0000 -0.0003 -0.0000 0.000726 0.799687 3.655389 0.000006 0.0025
61 1116.1027 0.0000348616 -0.0002 0.0007 -0.0008 0.002870 0.925923 3.678933 0.000007 0.0016
62 1116.3274 0.0003626250 -0.0002 0.0036 -0.0006 0.009255 1.747508 2.637348 0.000017 0.0185
63 1116.4800 0.0000272145 0.0002 -0.0010 -0.0002 0.002535 1.854099 2.817191 0.000011 0.0062
64 1118.0505 0.0000419102 -0.0007 0.0010 -0.0001 0.003144 1.885653 1.971064 0.000018 0.0056
65 1120.8315 0.0005885496 0.0018 -0.0016 -0.0039 0.011767 1.568668 2.361951 0.000020 0.0181
66 1125.1927 0.0000831303 -0.0011 0.0014 -0.0001 0.004414 0.757131 2.923438 0.000042 0.0187
67 1125.8987 0.0000024099 -0.0001 0.0001 0.0003 0.000751 0.645966 3.690906 0.000006 0.0032
