Gaussian broadening with full width at half max of   3.000   eV
        Energy(eV)              Intensity (arb. units)
   1000.0000000000000        5.1880318150711453E-036
   1000.0100000000000        5.7154720592744671E-036
   1000.0200000000000        6.2961464762539106E-036
   1000.0300000000000        6.9353883077432056E-036
   1000.0400000000000        7.6390610807084496E-036
   1000.0500000000000        8.4136109283650477E-036
   1000.0599999999999        9.2661240329469222E-036
   1000.0700000000001        1.0204389687590527E-035
   1000.0800000000000        1.1236969522512768E-035
   1000.0900000000000        1.2373273493366868E-035
   1000.1000000000000        1.3623643286762974E-035
   1000.1100000000000        1.4999443861271345E-035
   1000.1200000000000        1.6513163910971656E-035
   1000.1300000000000        1.8178526114200747E-035
   1000.1400000000000        2.0010608112867603E-035
   1000.1500000000000        2.2025975258262565E-035
   1000.1600000000000        2.4242826258481073E-035
   1000.1700000000000        2.6681152971172562E-035
   1000.1799999999999        2.9362915704212265E-035
   1000.1900000000001        3.2312235517108244E-035
   1000.2000000000000        3.5555605158187455E-035
   1000.2100000000000        3.9122120429321138E-035
   1000.2200000000000        4.3043733939466891E-035
   1000.2300000000000        4.7355533396370384E-035
   1000.2400000000000        5.2096046789540968E-035
   1000.2500000000000        5.7307577041676647E-035
   1000.2600000000000        6.3036568950571194E-035
   1000.2700000000000        6.9334011511491790E-035
   1000.2800000000000        7.6255879003247026E-035
   1000.2900000000000        8.3863614541907382E-035
   1000.3000000000000        9.2224660157102607E-035
   1000.3099999999999        1.0141303782967489E-034
   1000.3200000000001        1.1150998634954934E-034
   1000.3300000000000        1.2260465931108953E-034
   1000.3400000000000        1.3479489006806915E-034
   1000.3500000000000        1.4818803001565757E-034
   1000.3600000000000        1.6290186717163414E-034
   1000.3700000000000        1.7906563268358349E-034
   1000.3800000000000        1.9682110360794468E-034
   1000.3900000000000        2.1632381109201852E-034
   1000.4000000000000        2.3774436394870679E-034
   1000.4100000000000        2.6126989855233944E-034
   1000.4200000000000        2.8710566701010807E-034
   1000.4299999999999        3.1547677668508104E-034
   1000.4400000000001        3.4663009537314306E-034
   1000.4500000000000        3.8083633777318933E-034
   1000.4600000000000        4.1839235036195456E-034
   1000.4700000000000        4.5962361337196527E-034
   1000.4800000000000        5.0488698033218380E-034
   1000.4900000000000        5.5457367753347046E-034
   1000.5000000000000        6.0911258787083075E-034
   1000.5100000000000        6.6897384579383444E-034
   1000.5200000000000        7.3467277258773489E-034
   1000.5300000000000        8.0677418392856208E-034
   1000.5400000000000        8.8589710462715808E-034
   1000.5500000000000        9.7271992872347165E-034
   1000.5599999999999        1.0679860666369466E-033
   1000.5700000000001        1.1725101249517902E-033
   1000.5800000000000        1.2871846686344193E-033
   1000.5900000000000        1.4129876201219383E-033
   1000.6000000000000        1.5509903547188252E-033
   1000.6100000000000        1.7023665572819649E-033
   1000.6200000000000        1.8684019111580707E-033
   1000.6300000000000        2.0505046969013628E-033
   1000.6400000000000        2.2502173854576021E-033
   1000.6500000000000        2.4692293183119529E-033
   1000.6600000000000        2.7093905756259182E-033
   1000.6700000000000        2.9727271426935360E-033
   1000.6799999999999        3.2614574952021824E-033
   1000.6900000000001        3.5780107348685842E-033
   1000.7000000000000        3.9250464190848133E-033
   1000.7100000000000        4.3054762414778700E-033
   1000.7200000000000        4.7224877345526176E-033
   1000.7300000000000        5.1795701814119508E-033
   1000.7400000000000        5.6805429406010920E-033
   1000.7500000000000        6.2295864068289605E-033
   1000.7600000000000        6.8312758506903108E-033
   1000.7700000000000        7.4906184027343847E-033
   1000.7800000000000        8.2130934714616782E-033
   1000.7900000000000        9.0046969112525226E-033
   1000.8000000000000        9.8719892850543841E-033
   1000.8099999999999        1.0822148598064247E-032
   1000.8200000000001        1.1863027912920668E-032
   1000.8300000000000        1.3003218294168483E-032
   1000.8400000000000        1.4252117570730374E-032
   1000.8500000000000        1.5620005449075499E-032
   1000.8600000000000        1.7118125558554041E-032
   1000.8700000000000        1.8758775062846156E-032
   1000.8800000000000        2.0555402528995991E-032
   1000.8900000000000        2.2522714808117120E-032
   1000.9000000000000        2.4676793750062051E-032
   1000.9100000000000        2.7035223648704250E-032
   1000.9200000000000        2.9617230395473028E-032
   1000.9299999999999        3.2443833407017613E-032
   1000.9400000000001        3.5538011489063182E-032
   1000.9500000000000        3.8924883902970568E-032
   1000.9600000000000        4.2631908016348526E-032
   1000.9700000000000        4.6689095042057570E-032
   1000.9800000000000        5.1129245506490231E-032
   1000.9900000000000        5.5988206234638312E-032
   1001.0000000000000        6.1305150800194774E-032
   1001.0100000000000        6.7122885563608746E-032
   1001.0200000000000        7.3488183611294165E-032
   1001.0300000000000        8.0452149116357571E-032
   1001.0400000000000        8.8070614866676592E-032
   1001.0500000000000        9.6404575951733876E-032
   1001.0599999999999        1.0552066286677107E-031
   1001.0700000000001        1.1549165758392313E-031
   1001.0800000000000        1.2639705645565685E-031
   1001.0900000000000        1.3832368416294258E-031
   1001.1000000000000        1.5136636329144539E-031
   1001.1100000000000        1.6562864453110752E-031
   1001.1200000000000        1.8122360293603327E-031
   1001.1300000000000        1.9827470616551833E-031
   1001.1400000000000        2.1691676115247562E-031
   1001.1500000000000        2.3729694621726905E-031
   1001.1600000000000        2.5957593626693617E-031
   1001.1700000000000        2.8392912939637350E-031
   1001.1799999999999        3.1054798394383550E-031
   1001.1900000000001        3.3964147585391501E-031
   1001.2000000000000        3.7143768706898167E-031
   1001.2100000000000        4.0618553662388384E-031
