Gaussian broadening with full width at half max of   3.000   eV
        Energy(eV)              Intensity (arb. units)
   1000.0000000000000        2.9672128468811920E-041
   1000.0100000000000        3.2888335079627304E-041
   1000.0200000000000        3.6450905238302427E-041
   1000.0300000000000        4.0396895392950421E-041
   1000.0400000000000        4.4767300095140592E-041
   1000.0500000000000        4.9607467669606660E-041
   1000.0599999999999        5.4967559454340137E-041
   1000.0700000000001        6.0903057145946583E-041
   1000.0800000000000        6.7475323253215029E-041
   1000.0900000000000        7.4752220179963396E-041
   1000.1000000000000        8.2808794025433137E-041
   1000.1100000000000        9.1728029820803050E-041
   1000.1200000000000        1.0160168561121768E-040
   1000.1300000000000        1.1253121355622233E-040
   1000.1400000000000        1.2462877706242720E-040
   1000.1500000000000        1.3801837388914760E-040
   1000.1600000000000        1.5283707618931524E-040
   1000.1700000000000        1.6923639957365202E-040
   1000.1799999999999        1.8738381452657560E-040
   1000.1900000000001        2.0746441486936791E-040
   1000.2000000000000        2.2968275947044262E-040
   1000.2100000000000        2.5426490506644442E-040
   1000.2200000000000        2.8146064987779466E-040
   1000.2300000000000        3.1154600972341829E-040
   1000.2400000000000        3.4482595055261930E-040
   1000.2500000000000        3.8163740375610640E-040
   1000.2600000000000        4.2235259330838140E-040
   1000.2700000000000        4.6738270675634961E-040
   1000.2800000000000        5.1718194533160112E-040
   1000.2900000000000        5.7225199205644475E-040
   1000.3000000000000        6.3314694066937121E-040
   1000.3099999999999        7.0047873255100200E-040
   1000.3200000000001        7.7492315362682845E-040
   1000.3300000000000        8.5722644849574500E-040
   1000.3400000000000        9.4821261486132743E-040
   1000.3500000000000        1.0487914477085993E-039
   1000.3600000000000        1.1599674097377004E-039
   1000.3700000000000        1.2828494122949066E-039
   1000.3800000000000        1.4186615995732381E-039
   1000.3900000000000        1.5687552382356009E-039
   1000.4000000000000        1.7346218249359560E-039
   1000.4100000000000        1.9179075355738776E-039
   1000.4200000000000        2.1204291526121202E-039
   1000.4299999999999        2.3441916205377088E-039
   1000.4400000000001        2.5914073946709716E-039
   1000.4500000000000        2.8645177651443145E-039
   1000.4600000000000        3.1662163562305588E-039
   1000.4700000000000        3.4994750212271923E-039
   1000.4800000000000        3.8675723753334291E-039
   1000.4900000000000        4.2741252332419503E-039
   1000.5000000000000        4.7231232449478262E-039
   1000.5100000000000        5.2189670527101172E-039
   1000.5200000000000        5.7665103244564764E-039
   1000.5300000000000        6.3711060544988106E-039
   1000.5400000000000        7.0386575615396929E-039
   1000.5500000000000        7.7756746569395105E-039
   1000.5599999999999        8.5893355034772839E-039
   1000.5700000000001        9.4875547367886017E-039
   1000.5800000000000        1.0479058478683096E-038
   1000.5900000000000        1.1573466934501168E-038
   1000.6000000000000        1.2781385335259829E-038
   1000.6100000000000        1.4114504061453404E-038
   1000.6200000000000        1.5585708868412858E-038
   1000.6300000000000        1.7209202224660208E-038
   1000.6400000000000        1.9000636875169012E-038
   1000.6500000000000        2.0977262851833008E-038
   1000.6600000000000        2.3158089274708913E-038
   1000.6700000000000        2.5564062420786010E-038
   1000.6799999999999        2.8218261683351155E-038
   1000.6900000000001        3.1146115205702426E-038
   1000.7000000000000        3.4375637149199355E-038
   1000.7100000000000        3.7937688750105012E-038
   1000.7200000000000        4.1866265531279510E-038
   1000.7300000000000        4.6198813269561386E-038
   1000.7400000000000        5.0976575575489468E-038
   1000.7500000000000        5.6244976223818855E-038
   1000.7600000000000        6.2054039682413516E-038
   1000.7700000000000        6.8458853626382590E-038
   1000.7800000000000        7.5520077596840379E-038
   1000.7900000000000        8.3304502372420686E-038
   1000.8000000000000        9.1885665070357445E-038
   1000.8099999999999        1.0134452548628387E-037
   1000.8200000000001        1.1177020972233574E-037
   1000.8300000000000        1.2326082774510069E-037
   1000.8400000000000        1.3592437216799248E-037
   1000.8500000000000        1.4987970626209268E-037
   1000.8600000000000        1.6525764998654128E-037
   1000.8700000000000        1.8220217368596415E-037
   1000.8800000000000        2.0087171004535060E-037
   1000.8900000000000        2.2144059592594697E-037
   1000.9000000000000        2.4410065683915357E-037
   1000.9100000000000        2.6906294805818291E-037
   1000.9200000000000        2.9655966773048115E-037
   1000.9299999999999        3.2684625884829240E-037
   1000.9400000000001        3.6020371857423461E-037
   1000.9500000000000        3.9694113521270118E-037
   1000.9600000000000        4.3739847509607564E-037
   1000.9700000000000        4.8194964380105460E-037
   1000.9800000000000        5.3100584849081681E-037
   1000.9900000000000        5.8501929076615713E-037
   1001.0000000000000        6.4448722225518771E-037
   1001.0100000000000        7.0995639828845454E-037
   1001.0200000000000        7.8202796842218349E-037
   1001.0300000000000        8.6136284631633605E-037
   1001.0400000000000        9.4868760557601509E-037
   1001.0500000000000        1.0448009526598349E-036
   1001.0599999999999        1.1505808328831768E-036
   1001.0700000000001        1.2669922309408488E-036
   1001.0800000000000        1.3950957332747093E-036
   1001.0900000000000        1.5360569261135257E-036
   1001.1000000000000        1.6911567100585550E-036
   1001.1100000000000        1.8618026198999364E-036
