State  Frequency(eV)  OscillatorStrength  TransitionMoment_x  y  z  Trans.Dipole.Mom.(D) e-size(A)  RMS_e-h(A)  QTa  LOCa
1 1014.3111 0.0001096806 0.0010 0.0002 -0.0018 0.005340 0.832520 0.842974 0.000039 0.0084
2 1015.1427 0.0036462475 -0.0049 0.0093 -0.0061 0.030776 0.845488 0.856539 0.000143 0.0161
3 1019.1076 0.0002742838 -0.0025 -0.0004 -0.0021 0.008424 1.099377 3.204486 0.000046 0.0050
4 1019.3403 0.0000053163 -0.0002 -0.0002 -0.0004 0.001173 0.551117 3.520357 0.000007 0.0005
5 1019.8006 0.0000346495 -0.0007 0.0005 -0.0008 0.002993 0.625972 3.536026 0.000027 0.0025
6 1021.0389 0.0166138601 -0.0136 -0.0142 -0.0166 0.065504 0.823729 0.855651 0.000386 0.0292
7 1023.1859 0.0000136924 -0.0006 -0.0000 -0.0005 0.001879 0.564788 3.465844 0.000017 0.0027
8 1024.8891 0.0000212715 0.0004 0.0007 -0.0003 0.002339 0.632633 3.427126 0.000013 0.0039
9 1026.7318 0.0000097263 -0.0001 0.0004 0.0004 0.001581 0.632254 0.654403 0.000008 0.0051
10 1028.5754 0.0006246346 0.0008 0.0048 0.0011 0.012655 1.818342 2.999188 0.000303 0.0385
11 1028.7055 0.0011381696 0.0002 0.0067 0.0004 0.017081 1.963175 2.217754 0.000439 0.0553
12 1029.6719 0.0000465742 -0.0003 -0.0013 -0.0004 0.003454 1.181758 3.422121 0.000133 0.0190
13 1033.6193 0.0000093213 0.0002 -0.0005 0.0001 0.001542 0.700565 3.332621 0.000015 0.0024
14 1033.8716 0.0000102584 -0.0001 0.0006 0.0003 0.001618 0.703107 3.327862 0.000009 0.0016
15 1037.5317 0.0002876635 -0.0011 -0.0027 -0.0017 0.008551 1.885037 2.259005 0.000186 0.0270
16 1037.7031 0.0001286236 -0.0010 -0.0017 -0.0011 0.005717 2.072271 2.780004 0.000120 0.0204
17 1037.9794 0.0000000172 0.0000 0.0000 0.0000 0.000066 0.616427 3.533295 0.000001 0.0002
18 1038.2303 0.0000554490 0.0005 0.0013 0.0004 0.003753 1.352863 3.204675 0.000065 0.0101
19 1039.4192 0.0001714586 0.0019 0.0003 -0.0017 0.006595 0.668282 0.690798 0.000007 0.0078
20 1040.7255 0.0004050295 -0.0028 -0.0000 0.0029 0.010130 0.709143 0.722746 0.000034 0.0089
21 1041.8526 0.0002590306 -0.0026 0.0000 -0.0018 0.008097 0.733498 0.760372 0.000261 0.0363
22 1047.7485 0.0003286659 0.0026 0.0013 0.0021 0.009095 1.602972 3.278177 0.000148 0.0151
23 1047.7959 0.0014984701 0.0044 0.0028 0.0056 0.019420 1.758981 1.840643 0.000306 0.0318
24 1048.5494 0.0001037450 0.0020 0.0003 -0.0000 0.005108 0.967005 3.276798 0.000062 0.0057
25 1048.9062 0.0000825733 0.0012 0.0008 0.0011 0.004556 0.990594 3.646723 0.000064 0.0066
26 1049.4327 0.0035423034 -0.0088 -0.0004 0.0078 0.029834 0.836606 0.853592 0.000010 0.0076
27 1051.9114 0.0000357142 0.0009 0.0001 -0.0008 0.002992 0.697101 3.453778 0.000003 0.0012
28 1054.4715 0.0000049988 0.0001 0.0000 -0.0004 0.001118 0.764149 3.517285 0.000007 0.0007
29 1054.9720 0.0000036223 -0.0002 -0.0002 -0.0002 0.000952 0.773313 3.341561 0.000009 0.0017
30 1055.2571 0.0000125566 0.0001 0.0002 0.0006 0.001771 0.718604 3.426741 0.000023 0.0028
31 1058.7843 0.0000107161 -0.0000 0.0005 0.0004 0.001634 0.730650 3.407208 0.000024 0.0035
32 1060.1569 0.0000009764 -0.0000 -0.0002 -0.0000 0.000493 0.565605 3.411843 0.000005 0.0016
33 1061.2354 0.0000001398 -0.0001 -0.0000 -0.0000 0.000186 0.573544 3.451747 0.000003 0.0004
34 1063.0258 0.0000050341 0.0004 0.0000 0.0002 0.001117 0.661177 3.275625 0.000010 0.0014
35 1074.3204 0.0067939759 0.0074 -0.0121 0.0075 0.040836 0.632133 0.652095 0.000571 0.1345
36 1080.6655 0.0141795378 0.0123 0.0117 0.0158 0.058822 0.662003 0.683495 0.000210 0.0316
37 1083.9634 0.0000422494 -0.0010 -0.0005 -0.0007 0.003206 2.157878 3.415584 0.000010 0.0013
38 1084.1049 0.0000282994 -0.0005 0.0001 -0.0009 0.002624 2.165752 3.520135 0.000011 0.0021
39 1090.9558 0.0000012639 0.0001 -0.0002 -0.0001 0.000553 0.623897 3.410646 0.000009 0.0026
40 1093.3599 0.0000038098 -0.0003 0.0002 -0.0001 0.000959 0.623770 3.470011 0.000004 0.0010
41 1106.6071 0.0069396304 -0.0118 -0.0020 0.0106 0.040665 0.570271 0.583377 0.000006 0.0114
42 1110.8248 0.0108178438 0.0062 -0.0183 0.0051 0.050676 0.843573 0.854775 0.000029 0.0518
43 1114.2542 0.0000062051 -0.0003 0.0001 0.0003 0.001212 0.809761 3.550454 0.000001 0.0009
44 1114.9198 0.0000364796 -0.0001 0.0010 -0.0005 0.002937 0.841450 3.462525 0.000003 0.0038
45 1116.0779 0.0000621925 0.0009 -0.0010 0.0006 0.003833 1.273171 3.539347 0.000004 0.0051
46 1116.5828 0.0000632338 0.0006 -0.0013 0.0006 0.003864 1.290131 3.390263 0.000010 0.0032
47 1123.3798 0.0000002925 -0.0000 0.0001 -0.0000 0.000262 2.395746 3.079514 0.000002 0.0060
48 1125.2903 0.0000010883 -0.0000 -0.0002 -0.0000 0.000505 2.331926 3.509902 0.000005 0.0020
