State  Frequency(eV)  OscillatorStrength  TransitionMoment_x  y  z  Trans.Dipole.Mom.(D) e-size(A)  RMS_e-h(A)  QTa  LOCa
57 533.9543 0.0000000000 -0.0000 -0.0000 0.0000 0.000000 2.546532 23.763837 0.000000 0.0000
58 534.4146 0.0000000000 -0.0000 -0.0000 0.0000 0.000000 2.626540 24.353244 0.000000 0.0000
59 534.5285 0.0003317839 -0.0015 -0.0015 -0.0046 0.012794 2.738288 3.790860 0.000653 0.0861
60 535.3768 0.0012321613 -0.0014 -0.0032 0.0090 0.024635 2.872163 3.549911 0.000747 0.1022
61 535.4248 0.0000000000 -0.0000 -0.0000 0.0000 0.000000 2.603881 23.761536 0.000000 0.0000
62 535.4777 0.0004959489 -0.0018 0.0053 -0.0026 0.015628 2.871812 3.520081 0.001080 0.0952
63 535.8218 0.0067377483 -0.0173 -0.0038 -0.0141 0.057584 2.825727 3.183460 0.000770 0.1718
64 536.4636 0.0016755035 0.0049 0.0100 -0.0021 0.028698 2.761184 3.670008 0.000791 0.0946
65 536.6314 0.0000000000 -0.0000 0.0000 0.0000 0.000000 2.710237 24.136508 0.000000 0.0000
66 536.7201 0.0003688331 0.0010 -0.0043 -0.0029 0.013462 2.950747 3.395677 0.000948 0.1075
67 537.2487 0.0002440055 0.0008 0.0007 0.0042 0.010944 3.046412 3.876717 0.001156 0.1476
68 537.6545 0.0015297177 0.0076 0.0077 0.0002 0.027391 3.014890 3.834471 0.001439 0.0693
69 537.9600 0.0000000000 -0.0000 -0.0000 0.0000 0.000000 2.822190 24.083319 0.000000 0.0000
70 537.9898 0.0006097818 0.0014 0.0066 0.0004 0.017288 2.769919 3.571189 0.001125 0.1331
71 538.3642 0.0017905877 -0.0077 0.0087 -0.0009 0.029615 2.650009 3.639904 0.000675 0.0725
72 538.5859 0.0000000000 -0.0000 0.0000 0.0000 0.000000 2.622308 23.690137 0.000000 0.0000
73 538.8280 0.0014229825 -0.0099 0.0029 0.0006 0.026389 2.719062 3.661934 0.000849 0.0843
74 539.1016 0.0006119662 -0.0003 -0.0042 -0.0054 0.017301 3.086767 3.868390 0.000685 0.0590
75 539.5496 0.0012337050 0.0065 -0.0070 -0.0016 0.024555 2.851261 3.343046 0.000627 0.1735
76 539.6389 0.0000000000 -0.0000 -0.0000 -0.0000 0.000000 2.735813 23.973531 0.000000 0.0000
77 539.7069 0.0009153575 -0.0057 -0.0022 -0.0056 0.021148 2.651666 3.839516 0.001153 0.1002
78 540.2313 0.0000000000 -0.0000 -0.0000 0.0000 0.000000 2.841993 24.207814 0.000000 0.0000
79 540.3669 0.0019028169 -0.0107 -0.0053 0.0012 0.030472 2.769969 3.704654 0.001161 0.0432
80 540.9464 0.0026299718 0.0027 -0.0114 -0.0079 0.035806 2.612091 3.668108 0.001064 0.0891
81 541.0245 0.0058769907 -0.0081 -0.0126 -0.0148 0.053521 2.863236 3.764729 0.001519 0.1125
82 541.0794 0.0000000000 0.0000 0.0000 0.0000 0.000000 2.776977 23.869519 0.000000 0.0000
83 541.2492 0.0002223242 -0.0022 0.0030 -0.0016 0.010408 2.784324 3.995657 0.000665 0.0458
84 541.8412 0.0000000000 -0.0000 0.0000 0.0000 0.000000 1.704735 23.655299 0.000000 0.0000
85 541.8889 0.0036718296 0.0057 -0.0143 -0.0062 0.042271 2.769807 3.368725 0.000504 0.1597
86 542.0740 0.0002696514 0.0008 0.0015 0.0042 0.011453 2.844721 3.811448 0.000811 0.0670
87 542.3236 0.0007898702 -0.0035 0.0058 0.0036 0.019598 2.622069 4.030290 0.000588 0.0521
88 542.4151 0.0000000000 0.0000 0.0000 0.0000 0.000000 2.324674 24.696375 0.000000 0.0000
89 542.8166 0.0000000000 0.0000 0.0000 0.0000 0.000000 1.934816 23.624575 0.000000 0.0000
90 542.9653 0.0015433662 -0.0089 0.0010 -0.0060 0.027378 2.848213 3.573449 0.001111 0.1358
91 543.1831 0.0000000000 -0.0000 -0.0000 0.0000 0.000000 2.331195 23.730316 0.000000 0.0000
92 543.3858 0.0016893843 -0.0004 -0.0001 -0.0113 0.028633 2.829875 3.376836 0.000832 0.0924
93 544.0568 0.0006010975 0.0012 -0.0062 0.0022 0.017069 2.563052 3.840455 0.000656 0.0593
94 544.9152 0.0004016255 0.0037 0.0040 0.0007 0.013941 2.584613 3.489033 0.000576 0.1006
95 545.2904 0.0001766283 0.0001 0.0005 -0.0036 0.009242 2.597493 2.970306 0.000434 0.0765
96 545.9734 0.0001482071 0.0019 -0.0016 0.0022 0.008461 2.616389 3.526980 0.000330 0.0545
97 546.2354 0.0004787031 0.0009 0.0050 -0.0031 0.015202 2.747071 3.403148 0.000555 0.0669
98 546.3606 0.0000000000 0.0000 0.0000 0.0000 0.000000 1.937244 23.564711 0.000000 0.0000
99 546.5014 0.0008052891 0.0054 0.0040 -0.0039 0.019712 2.520916 3.511918 0.000458 0.0586
100 546.7956 0.0000000000 0.0000 0.0000 0.0000 0.000000 2.208309 24.334999 0.000000 0.0000
101 547.2855 0.0000000000 -0.0000 -0.0000 -0.0000 0.000000 1.709438 24.465924 0.000000 0.0000
