State  Frequency(eV)  OscillatorStrength  TransitionMoment_x  y  z  Trans.Dipole.Mom.(D) e-size(A)  RMS_e-h(A)  QTa  LOCa
1 518.9105 0.0084088726 0.0050 -0.0223 0.0117 0.065370 2.173882 2.356363 0.007446 0.1048
2 520.6498 0.0181964418 -0.0248 -0.0154 -0.0240 0.096001 2.640263 2.744344 0.004471 0.0445
3 521.0917 0.0044906233 -0.0097 0.0106 -0.0121 0.047670 2.636812 4.024901 0.002117 0.0336
4 521.6195 0.0089857515 0.0094 -0.0161 -0.0189 0.067399 2.581856 3.144084 0.003117 0.0744
5 522.2658 0.0037051549 -0.0086 -0.0144 -0.0028 0.043252 3.134602 3.542580 0.001658 0.0558
6 523.1470 0.0053893704 -0.0143 0.0133 -0.0062 0.052121 2.976101 3.830275 0.001767 0.0425
7 524.7684 0.0041534115 0.0096 0.0152 0.0010 0.045685 2.481032 2.586600 0.001831 0.0801
8 525.1085 0.0111479431 -0.0171 -0.0108 0.0214 0.074821 2.608942 2.711132 0.003446 0.1245
9 525.8873 0.0004553075 0.0046 0.0033 0.0018 0.015110 2.588532 3.449241 0.001186 0.1028
10 526.1077 0.0025511775 -0.0139 0.0022 0.0000 0.035759 3.175561 3.488058 0.002300 0.1054
11 526.7901 0.0035307019 -0.0035 0.0032 -0.0158 0.042040 2.941766 3.340589 0.001313 0.0735
12 526.8586 0.0062384740 0.0116 -0.0089 0.0164 0.055879 3.505497 3.854494 0.001934 0.0517
13 527.3103 0.0117710657 -0.0024 -0.0271 -0.0131 0.076723 3.099269 3.425412 0.002539 0.0900
14 527.3713 0.0025368451 -0.0080 0.0062 -0.0096 0.035616 2.923098 3.683490 0.000885 0.0770
15 527.5236 0.0020105895 0.0054 0.0083 0.0075 0.031703 2.902347 4.136413 0.001100 0.0537
16 527.8459 0.0030698123 -0.0112 0.0047 -0.0094 0.039161 3.559338 3.899876 0.001321 0.0510
17 528.0052 0.0053342584 0.0137 -0.0138 0.0059 0.051614 3.065666 3.472036 0.002492 0.0901
18 528.7201 0.0065396588 0.0210 0.0072 -0.0033 0.057111 3.430149 3.673045 0.000999 0.0508
19 528.9032 0.0046087589 -0.0051 -0.0063 -0.0170 0.047935 3.292420 3.658991 0.001383 0.0818
20 529.2646 0.0013154550 -0.0075 -0.0028 -0.0061 0.025601 2.586440 3.016935 0.000770 0.1157
21 530.3597 0.0040048063 0.0011 0.0095 0.0147 0.044623 3.339689 3.684925 0.001332 0.0818
22 530.5572 0.0009868994 -0.0001 0.0055 0.0068 0.022147 3.431172 3.722064 0.000869 0.0629
23 531.0804 0.0008027961 0.0034 0.0065 -0.0028 0.019965 3.274483 3.479482 0.001228 0.0958
24 531.4866 0.0021979795 0.0103 0.0017 -0.0077 0.033023 3.138062 3.345764 0.001054 0.1330
25 531.6465 0.0026084734 -0.0051 0.0115 0.0065 0.035970 2.698099 3.188906 0.001546 0.1534
26 532.1771 0.0005507306 -0.0001 -0.0006 0.0065 0.016519 3.130471 3.599605 0.000355 0.0471
27 532.9777 0.0002491264 0.0030 0.0027 -0.0015 0.011102 2.543554 3.836982 0.000342 0.0773
28 533.2607 0.0002962814 0.0010 -0.0045 0.0011 0.012104 2.788148 3.001627 0.000543 0.1440
29 533.9716 0.0002593104 0.0017 0.0039 -0.0014 0.011316 2.743737 3.323744 0.000439 0.1246
30 534.9849 0.0005100132 -0.0049 -0.0004 0.0039 0.015855 2.675417 3.229304 0.000541 0.1352
31 535.8967 0.0014947858 -0.0014 0.0105 -0.0009 0.027121 2.577601 2.692117 0.000265 0.1800
32 536.6397 0.0035917367 -0.0143 0.0066 0.0051 0.042011 3.130935 3.303354 0.000725 0.1599
33 536.9502 0.0018211586 0.0106 0.0051 -0.0010 0.029906 3.032957 3.251041 0.000633 0.1057
34 537.2995 0.0008271557 0.0038 -0.0060 0.0035 0.020148 3.104450 3.346926 0.000959 0.1746
35 537.8928 0.0014800404 -0.0026 -0.0087 0.0054 0.026937 3.029718 3.256179 0.000512 0.1477
36 538.6736 0.0011313748 0.0025 0.0056 -0.0069 0.023534 3.152974 3.456364 0.000556 0.1166
37 539.4144 0.0008257410 0.0077 -0.0019 0.0004 0.020092 3.063877 3.338716 0.000361 0.1315
38 539.8859 0.0014527248 -0.0056 0.0024 -0.0086 0.026638 2.973552 3.102461 0.000912 0.1356
39 540.0867 0.0023056160 -0.0003 -0.0089 0.0098 0.033552 2.814483 3.290963 0.000527 0.1264
40 540.4675 0.0000968368 -0.0026 -0.0006 0.0001 0.006874 2.694930 3.426017 0.000475 0.0878
41 540.9564 0.0051709200 -0.0092 -0.0169 -0.0046 0.050206 2.969345 3.121211 0.000401 0.1755
42 541.0798 0.0053349006 -0.0108 -0.0065 -0.0156 0.050990 2.727434 2.865726 0.000710 0.1547
43 541.8816 0.0015443327 0.0071 0.0065 0.0049 0.027414 3.096923 3.218462 0.000886 0.1531
44 542.5799 0.0028191347 0.0082 -0.0099 0.0069 0.037015 3.096610 3.372445 0.000639 0.1274
45 543.2326 0.0001316464 0.0030 -0.0004 0.0009 0.007994 2.421796 3.047658 0.000397 0.1035
46 543.8077 0.0009122007 0.0060 0.0043 0.0038 0.021032 2.723190 3.825292 0.000309 0.1242
47 544.3893 0.0012080328 0.0000 -0.0091 -0.0027 0.024190 2.513856 3.089762 0.000150 0.0697
48 545.1674 0.0022831229 -0.0045 0.0119 -0.0030 0.033232 2.581873 2.705072 0.000340 0.0844
49 546.3150 0.0071016084 -0.0121 0.0178 -0.0082 0.058548 2.414426 2.615745 0.001794 0.1196
50 546.7896 0.0017838107 0.0035 0.0032 -0.0105 0.029330 2.227520 2.302600 0.000896 0.1137
51 547.2702 0.0089031178 0.0055 0.0249 0.0039 0.065497 2.658740 2.785722 0.001258 0.1273
52 547.9292 0.0013020917 -0.0037 -0.0079 -0.0045 0.025033 2.445987 3.651783 0.000261 0.0491
53 548.0215 0.0006605104 -0.0010 0.0068 -0.0012 0.017828 2.079514 3.589435 0.000356 0.0325
54 548.8077 0.0062452085 -0.0130 0.0104 -0.0137 0.054779 3.026003 3.275734 0.001228 0.0916
55 549.5094 0.0025562998 -0.0098 -0.0070 0.0067 0.035024 3.083216 3.431146 0.000934 0.0487
56 549.6679 0.0036792400 0.0064 -0.0089 0.0123 0.042013 2.450677 3.532408 0.000626 0.0631
57 549.7063 0.0036839483 -0.0146 0.0045 -0.0062 0.042038 2.259047 3.860807 0.000625 0.0466
58 550.2129 0.0099554023 -0.0099 -0.0091 -0.0236 0.069074 2.732215 2.938784 0.000611 0.0850
59 551.4541 0.0011481232 -0.0028 0.0008 0.0087 0.023431 2.089091 3.603969 0.000483 0.0571
60 552.6793 0.0038444035 0.0046 -0.0085 -0.0138 0.042828 2.914299 3.669536 0.000437 0.0897
61 553.0212 0.0039355381 -0.0154 0.0031 0.0067 0.043320 3.049231 3.490430 0.000890 0.1041
62 553.6063 0.0016245509 -0.0040 0.0030 0.0097 0.027818 2.333243 3.583856 0.000389 0.0954
63 554.2867 0.0144649382 0.0271 0.0152 -0.0101 0.082955 2.277031 2.375461 0.000520 0.1464
64 554.5137 0.0179302083 0.0231 -0.0089 -0.0266 0.092340 2.775658 2.932944 0.000329 0.1099
65 555.2934 0.0006915580 0.0009 -0.0043 -0.0057 0.018122 3.003611 3.529651 0.000577 0.0797
66 555.6041 0.0086730264 -0.0186 -0.0045 0.0164 0.064159 2.839753 2.966096 0.000534 0.0844
67 557.0661 0.0021024498 -0.0078 -0.0024 0.0093 0.031547 2.665010 2.767311 0.000092 0.1050
