State  Frequency(eV)  OscillatorStrength  TransitionMoment_x  y  z  Trans.Dipole.Mom.(D) e-size(A)  RMS_e-h(A)  QTa  LOCa
1 518.5050 0.0025056304 -0.0133 -0.0019 -0.0041 0.035697 2.785954 3.129063 0.005352 0.0837
2 519.6414 0.0031832074 -0.0072 0.0136 0.0038 0.040191 3.633457 3.914472 0.003584 0.0267
3 520.0987 0.0027409017 0.0015 -0.0053 0.0136 0.037278 3.354554 3.510290 0.003200 0.0705
4 520.3984 0.0043876468 -0.0142 -0.0102 0.0060 0.047152 3.422330 3.792043 0.003034 0.0422
5 520.8761 0.0027262443 -0.0089 -0.0109 0.0039 0.037151 4.019474 4.539235 0.003783 0.0997
6 521.1718 0.0021159095 -0.0099 -0.0079 0.0024 0.032720 3.941212 4.422716 0.003954 0.0720
7 521.5745 0.0006105063 -0.0038 -0.0056 0.0012 0.017569 3.576521 3.953614 0.000852 0.0352
8 521.7451 0.0021225134 -0.0074 0.0089 0.0057 0.032753 3.578991 3.756470 0.001822 0.0360
9 522.4121 0.0137334923 -0.0274 0.0160 -0.0082 0.083260 3.338443 3.392518 0.004387 0.0923
10 522.6688 0.0065546415 0.0010 -0.0226 -0.0004 0.057506 3.150437 3.410583 0.002600 0.0879
11 522.9225 0.0005760665 -0.0044 -0.0051 0.0005 0.017044 3.083641 4.353908 0.001512 0.0371
12 523.5665 0.0029314560 -0.0135 0.0048 -0.0049 0.038425 3.352998 3.760260 0.002943 0.0771
13 523.9119 0.0016635496 -0.0032 0.0038 0.0102 0.028936 3.012171 3.112114 0.002775 0.2006
14 524.9314 0.0071304516 0.0035 -0.0142 -0.0185 0.059849 2.938117 3.564909 0.002073 0.0584
15 525.0697 0.0042471144 -0.0069 -0.0008 0.0168 0.046184 3.260621 3.668121 0.002306 0.0601
16 525.1741 0.0006709339 0.0022 0.0069 -0.0003 0.018354 3.525652 3.791886 0.002154 0.0764
17 525.3005 0.0007761998 -0.0075 -0.0006 -0.0019 0.019739 3.158972 3.991340 0.000943 0.0727
18 525.6162 0.0006453978 0.0060 0.0027 -0.0026 0.017994 3.449834 3.910168 0.000680 0.0703
19 525.7656 0.0047645001 0.0187 -0.0039 -0.0024 0.048884 3.222942 3.662025 0.001598 0.0962
20 526.0113 0.0029652537 0.0082 0.0108 0.0068 0.038556 3.460551 3.943678 0.003000 0.0667
21 526.0615 0.0037856213 -0.0007 0.0171 -0.0006 0.043562 3.427887 3.737411 0.002290 0.0588
22 526.1405 0.0007852362 -0.0058 0.0013 -0.0050 0.019838 3.612707 4.401359 0.001770 0.0505
23 526.2630 0.0023192367 -0.0048 -0.0041 -0.0118 0.034090 3.645545 3.735645 0.001813 0.0629
24 526.7191 0.0017523060 -0.0056 -0.0074 -0.0070 0.029619 3.637142 3.929114 0.001782 0.0758
25 526.8162 0.0017618707 0.0076 -0.0047 -0.0075 0.029697 3.296710 3.793324 0.001550 0.0462
26 526.8619 0.0024859518 0.0026 0.0084 0.0108 0.035274 3.749503 4.054884 0.001109 0.0620
27 527.0224 0.0003822620 -0.0027 -0.0014 0.0045 0.013830 3.801331 3.933590 0.001424 0.0648
28 527.1120 0.0034180744 -0.0014 -0.0162 -0.0006 0.041352 3.471860 3.888747 0.002126 0.0648
29 527.4185 0.0022087806 0.0088 0.0065 -0.0072 0.033232 3.365036 3.702577 0.002313 0.0550
30 527.5848 0.0018236859 0.0037 0.0100 -0.0052 0.030191 3.714113 3.851555 0.002093 0.1240
31 527.7906 0.0018875807 -0.0074 0.0064 0.0071 0.030710 3.685041 3.834184 0.001564 0.0771
32 527.9689 0.0044231363 -0.0114 0.0145 0.0003 0.047002 3.721001 3.842361 0.001793 0.1076
33 528.1198 0.0007260416 0.0058 -0.0018 -0.0043 0.019040 3.587691 4.365645 0.001591 0.0530
34 528.3464 0.0011452937 0.0023 0.0079 -0.0046 0.023908 3.311742 3.720228 0.001561 0.0706
35 528.6250 0.0004779970 0.0050 -0.0008 0.0034 0.015442 3.724404 3.870715 0.000991 0.0586
36 528.9743 0.0012408224 -0.0096 -0.0014 -0.0009 0.024871 3.716189 3.999490 0.001240 0.0615
37 529.0858 0.0016636366 0.0085 -0.0021 0.0071 0.028795 3.661346 3.715608 0.000866 0.0545
38 529.1463 0.0005734123 0.0064 0.0007 0.0018 0.016904 3.618521 4.216412 0.000976 0.0492
39 529.5421 0.0015045143 0.0044 -0.0094 0.0030 0.027372 3.326598 3.608325 0.001291 0.0490
40 529.7840 0.0024890020 -0.0019 -0.0115 0.0075 0.035198 3.769941 3.940127 0.001479 0.0460
41 530.1195 0.0024525609 -0.0005 0.0131 -0.0041 0.034928 3.828639 3.893832 0.001096 0.0472
42 530.3058 0.0003020583 0.0010 0.0001 -0.0047 0.012256 3.821939 4.419114 0.000630 0.0549
43 530.6180 0.0001638329 0.0002 0.0035 -0.0008 0.009023 3.656332 3.993306 0.000853 0.0548
44 530.7989 0.0003287495 0.0034 0.0028 -0.0024 0.012780 3.639055 4.027278 0.000511 0.0284
45 531.0362 0.0008402487 -0.0042 0.0058 -0.0038 0.020427 3.352891 3.651716 0.001221 0.0690
46 531.5943 0.0026541361 0.0103 -0.0047 0.0087 0.036285 3.452977 3.640306 0.000838 0.1023
47 531.9616 0.0023454292 0.0130 0.0008 0.0033 0.034098 3.432774 3.527595 0.001384 0.1212
48 532.1791 0.0011628905 -0.0088 0.0012 -0.0031 0.024005 3.430591 3.522904 0.001126 0.0657
49 532.5197 0.0006217253 -0.0032 -0.0054 0.0028 0.017546 3.353985 4.350253 0.000933 0.0634
50 532.7234 0.0011937277 0.0090 0.0003 -0.0033 0.024308 3.480967 3.789167 0.000855 0.0569
51 533.2320 0.0031248829 0.0042 0.0084 -0.0123 0.039311 3.311449 3.403357 0.000689 0.1049
52 533.4212 0.0010785978 0.0054 0.0051 -0.0052 0.023091 3.383238 3.447206 0.000923 0.0686
53 533.7953 0.0011135763 0.0069 -0.0029 -0.0054 0.023454 3.566886 3.856096 0.001076 0.0887
54 534.2206 0.0012922807 -0.0012 -0.0001 -0.0099 0.025256 2.916386 3.174350 0.000919 0.0467
55 534.8165 0.0005130269 0.0039 0.0049 0.0005 0.015905 3.360809 3.496780 0.000866 0.0718
56 535.2082 0.0001615996 0.0002 0.0034 -0.0007 0.008923 3.297860 3.541104 0.000834 0.0696
57 535.4125 0.0002159830 0.0010 -0.0038 0.0010 0.010314 3.307614 3.408543 0.000570 0.1436
58 535.5894 0.0000253355 -0.0013 0.0003 -0.0004 0.003532 3.061461 3.681031 0.000735 0.0771
59 536.2470 0.0007737293 -0.0038 0.0009 -0.0066 0.019506 3.338138 3.570958 0.001220 0.0846
60 536.2989 0.0022133947 0.0091 -0.0073 0.0057 0.032990 3.092762 3.199003 0.000907 0.1857
61 536.5009 0.0009198364 0.0057 0.0013 -0.0060 0.021263 3.345509 3.409354 0.000629 0.0864
