State  Frequency(eV)  OscillatorStrength  TransitionMoment_x  y  z  Trans.Dipole.Mom.(D) e-size(A)  RMS_e-h(A)  QTa  LOCa
1 1016.4154 0.0076085248 -0.0055 0.0164 -0.0028 0.044429 1.860334 1.908594 0.000258 0.0311
2 1018.1624 0.0024644336 -0.0094 -0.0023 0.0021 0.025264 1.510324 1.531813 0.000313 0.0233
3 1019.1341 0.0004196032 -0.0027 0.0031 -0.0001 0.010420 1.810261 3.328980 0.000058 0.0059
4 1019.4057 0.0000369411 0.0010 -0.0007 -0.0001 0.003091 1.234730 3.315787 0.000058 0.0078
5 1019.4829 0.0022007656 -0.0063 0.0069 -0.0002 0.023859 2.346430 2.857135 0.000120 0.0172
6 1019.7077 0.0002360614 -0.0012 0.0028 0.0002 0.007813 1.053278 3.403506 0.000025 0.0055
7 1019.9907 0.0045155018 0.0103 -0.0086 0.0010 0.034167 2.119024 2.287055 0.000206 0.0237
8 1020.4940 0.0000334258 0.0010 -0.0006 0.0001 0.002939 1.183293 3.795161 0.000017 0.0028
9 1020.9200 0.0000730273 0.0001 0.0016 -0.0005 0.004343 2.656398 3.801994 0.000029 0.0033
10 1021.0990 0.0003885546 0.0037 -0.0011 0.0007 0.010017 2.777880 3.267158 0.000097 0.0112
11 1021.2217 0.0009419784 -0.0056 0.0023 -0.0008 0.015596 2.539765 2.889954 0.000153 0.0168
12 1021.4672 0.0002424478 -0.0031 0.0000 -0.0001 0.007911 1.796928 3.307515 0.000076 0.0079
13 1021.6577 0.0002808717 -0.0031 0.0013 0.0002 0.008514 1.435177 3.553724 0.000071 0.0083
14 1022.5872 0.0000215792 -0.0008 0.0005 0.0001 0.002359 1.286534 4.145219 0.000007 0.0028
15 1023.0154 0.0000288446 0.0010 -0.0005 -0.0001 0.002727 1.382998 3.434831 0.000024 0.0031
16 1023.3053 0.0000077306 -0.0002 0.0005 -0.0001 0.001411 1.600917 4.112640 0.000011 0.0019
17 1024.0914 0.0001507344 0.0022 0.0007 -0.0007 0.006230 1.817869 2.943446 0.000067 0.0053
18 1024.4077 0.0000252913 -0.0009 -0.0004 -0.0001 0.002552 1.610416 3.099442 0.000038 0.0030
19 1024.9916 0.0002181247 0.0007 -0.0027 0.0009 0.007491 1.770814 2.208766 0.000058 0.0101
20 1025.1335 0.0000823257 0.0018 -0.0003 -0.0002 0.004602 1.383304 3.168212 0.000036 0.0042
21 1025.2239 0.0036146587 0.0101 -0.0064 0.0008 0.030491 2.990093 3.213681 0.000144 0.0172
22 1025.3275 0.0020596822 -0.0075 0.0050 -0.0006 0.023016 2.994721 3.413325 0.000119 0.0141
23 1025.6866 0.0004138116 0.0032 -0.0024 0.0006 0.010314 2.056882 3.427125 0.000066 0.0090
24 1026.1677 0.0004989590 -0.0043 0.0004 0.0010 0.011323 2.069415 2.708918 0.000078 0.0159
25 1026.2819 0.0001470774 0.0023 0.0005 -0.0006 0.006147 1.721692 3.031064 0.000047 0.0091
26 1026.4447 0.0000021325 -0.0001 -0.0003 -0.0001 0.000740 0.876821 3.621935 0.000014 0.0025
27 1026.8966 0.0000638586 -0.0012 0.0004 -0.0009 0.004049 1.508809 3.278946 0.000049 0.0044
28 1027.0714 0.0000796538 0.0018 -0.0000 -0.0002 0.004522 1.846117 2.623480 0.000114 0.0147
29 1027.9293 0.0000272366 0.0008 0.0003 -0.0005 0.002643 1.341622 3.227385 0.000032 0.0029
30 1028.4167 0.0000015597 0.0002 -0.0002 -0.0001 0.000632 1.241176 3.869172 0.000019 0.0019
31 1029.0773 0.0000729011 0.0017 -0.0003 -0.0002 0.004322 3.040960 3.264228 0.000089 0.0142
32 1029.1962 0.0000360004 0.0012 0.0000 0.0001 0.003037 3.166876 3.273529 0.000117 0.0197
33 1029.7108 0.0008916879 -0.0055 0.0023 0.0004 0.015111 2.380141 2.741320 0.000291 0.0421
34 1029.9852 0.0000496214 -0.0011 0.0008 0.0004 0.003564 1.897880 3.337927 0.000107 0.0153
35 1030.4660 0.0000095271 -0.0006 0.0002 -0.0001 0.001561 0.894222 4.368646 0.000024 0.0020
36 1031.0657 0.0000038870 0.0001 0.0001 -0.0004 0.000997 1.084724 4.223196 0.000028 0.0049
37 1031.3149 0.0006326941 0.0003 0.0048 -0.0015 0.012719 2.470503 2.680032 0.000208 0.0160
38 1031.8337 0.0001513629 -0.0003 0.0017 -0.0018 0.006220 2.483762 2.810453 0.000136 0.0242
39 1032.3981 0.0000592351 0.0010 0.0007 -0.0010 0.003890 2.504944 2.948768 0.000083 0.0467
40 1032.5356 0.0000733928 -0.0001 -0.0013 0.0011 0.004329 2.491359 3.440366 0.000081 0.0301
41 1032.8949 0.0002143116 -0.0000 0.0029 -0.0005 0.007397 2.239317 2.789751 0.000255 0.0333
42 1033.1071 0.0004675098 0.0006 -0.0042 0.0008 0.010924 2.205499 2.676867 0.000296 0.0450
