Gaussian broadening with full width at half max of   3.000   eV
        Energy(eV)              Intensity (arb. units)
   1000.0000000000000        7.3754714059829623E-040
   1000.0100000000000        8.1655718808673726E-040
   1000.0200000000000        9.0397552169237548E-040
   1000.0300000000000        1.0006909605613308E-039
   1000.0400000000000        1.1076856376804009E-039
   1000.0500000000000        1.2260447284501371E-039
   1000.0599999999999        1.3569671863379475E-039
   1000.0700000000001        1.5017775891096518E-039
   1000.0800000000000        1.6619392096851260E-039
   1000.0900000000000        1.8390684373245779E-039
   1000.1000000000000        2.0349506875984712E-039
   1000.1100000000000        2.2515579537477979E-039
   1000.1200000000000        2.4910681675299723E-039
   1000.1300000000000        2.7558865547463460E-039
   1000.1400000000000        3.0486691894570449E-039
   1000.1500000000000        3.3723489716004522E-039
   1000.1600000000000        3.7301642755291831E-039
   1000.1700000000000        4.1256905420657397E-039
   1000.1799999999999        4.5628751142966460E-039
   1000.1900000000001        5.0460756477189756E-039
   1000.2000000000000        5.5801024587611455E-039
   1000.2100000000000        6.1702652126126293E-039
   1000.2200000000000        6.8224243916054194E-039
   1000.2300000000000        7.5430480301244092E-039
   1000.2400000000000        8.3392742509328499E-039
   1000.2500000000000        9.2189801917527902E-039
   1000.2600000000000        1.0190857970253663E-038
   1000.2700000000000        1.1264498400843612E-038
   1000.2800000000000        1.2450483248419352E-038
   1000.2900000000000        1.3760486883156799E-038
   1000.3000000000000        1.5207388287212289E-038
   1000.3099999999999        1.6805394459662522E-038
   1000.3200000000001        1.8570176370970261E-038
   1000.3300000000000        2.0519018733528959E-038
   1000.3400000000000        2.2670984982133113E-038
   1000.3500000000000        2.5047098997009390E-038
   1000.3600000000000        2.7670545256063855E-038
   1000.3700000000000        3.0566889271154509E-038
   1000.3800000000000        3.3764320348596044E-038
   1000.3900000000000        3.7293918917712355E-038
   1000.4000000000000        4.1189950895048791E-038
   1000.4100000000000        4.5490191797788836E-038
   1000.4200000000000        5.0236283590185238E-038
   1000.4299999999999        5.5474127543767491E-038
   1000.4400000000001        6.1254316718436770E-038
   1000.4500000000000        6.7632612029586301E-038
   1000.4600000000000        7.4670466261560651E-038
   1000.4700000000000        8.2435600818143935E-038
   1000.4800000000000        9.1002640478185235E-038
   1000.4900000000000        1.0045381194517099E-037
   1000.5000000000000        1.1087971255318802E-037
   1000.5100000000000        1.2238015612133875E-037
   1000.5200000000000        1.3506510364000864E-037
   1000.5300000000000        1.4905568723166244E-037
   1000.5400000000000        1.6448533666245653E-037
   1000.5500000000000        1.8150101859628516E-037
   1000.5599999999999        2.0026459978775032E-037
   1000.5700000000001        2.2095434651401738E-037
   1000.5800000000000        2.4376657375474634E-037
   1000.5900000000000        2.6891745896370144E-037
   1000.6000000000000        2.9664503672626915E-037
   1000.6100000000000        3.2721139220664610E-037
   1000.6200000000000        3.6090507304090554E-037
   1000.6300000000000        3.9804374126227733E-037
   1000.6400000000000        4.3897708896079851E-037
   1000.6500000000000        4.8409004370135423E-037
   1000.6600000000000        5.3380629227180123E-037
   1000.6700000000000        5.8859215412738336E-037
   1000.6799999999999        6.4896083896386572E-037
   1000.6900000000001        7.1547712621580711E-037
   1000.7000000000000        7.8876250795979716E-037
   1000.7100000000000        8.6950084076507657E-037
   1000.7200000000000        9.5844455644471855E-037
   1000.7300000000000        1.0564214865534334E-036
   1000.7400000000000        1.1643423607989882E-036
   1000.7500000000000        1.2832090453912254E-036
   1000.7600000000000        1.4141235937676158E-036
   1000.7700000000000        1.5582981891691288E-036
   1000.7800000000000        1.7170660662516517E-036
   1000.7900000000000        1.8918935073722530E-036
   1000.8000000000000        2.0843930184569341E-036
   1000.8099999999999        2.2963377995129363E-036
   1000.8200000000001        2.5296776359851767E-036
   1000.8300000000000        2.7865563493372871E-036
   1000.8400000000000        3.0693309586654315E-036
   1000.8500000000000        3.3805927197108764E-036
   1000.8600000000000        3.7231902237836824E-036
   1000.8700000000000        4.1002547566455278E-036
   1000.8800000000000        4.5152281366881566E-036
   1000.8900000000000        4.9718932728536515E-036
   1000.9000000000000        5.4744077058698577E-036
   1000.9100000000000        6.0273404217073663E-036
   1000.9200000000000        6.6357122539093385E-036
   1000.9299999999999        7.3050402218380057E-036
   1000.9400000000001        8.0413861851680544E-036
   1000.9500000000000        8.8514102313450207E-036
   1000.9600000000000        9.7424292528125329E-036
   1000.9700000000000        1.0722481214216271E-035
   1000.9800000000000        1.1800395657925368E-035
   1000.9900000000000        1.2985871048420947E-035
   1001.0000000000000        1.4289559613494712E-035
   1001.0100000000000        1.5723160402965261E-035
   1001.0200000000000        1.7299521354322466E-035
   1001.0300000000000        1.9032751229905644E-035
   1001.0400000000000        2.0938342372531788E-035
   1001.0500000000000        2.3033305316546166E-035
   1001.0599999999999        2.5336316389833822E-035
   1001.0700000000001        2.7867879550210179E-035
   1001.0800000000000        3.0650503817398138E-035
   1001.0900000000000        3.3708897791519322E-035
   1001.1000000000000        3.7070182889262510E-035
   1001.1100000000000        4.0764127084394978E-035
   1001.1200000000000        4.4823401107697002E-035
   1001.1300000000000        4.9283859246484256E-035
   1001.1400000000000        5.4184847086020648E-035
   1001.1500000000000        5.9569538756267080E-035
   1001.1600000000000        6.5485306489238035E-035
   1001.1700000000000        7.1984125556660219E-035
   1001.1799999999999        7.9123017946782996E-035
   1001.1900000000001        8.6964538455412768E-035
   1001.2000000000000        9.5577307211248870E-035
   1001.2100000000000        1.0503659303534051E-034
   1001.2200000000000        1.1542495244443101E-034
   1001.2300000000000        1.2683292956250559E-034
   1001.2400000000000        1.3935982269657126E-034
   1001.2500000000000        1.5311452387262868E-034
   1001.2600000000000        1.6821643821715236E-034
   1001.2700000000000        1.8479649071355793E-034
   1001.2800000000000        2.0299822856695852E-034
   1001.2900000000000        2.2297902817968664E-034
   1001.3000000000000        2.4491141658020337E-034
   1001.3099999999999        2.6898451806613165E-034
   1001.3200000000001        2.9540563782531747E-034
   1001.3300000000000        3.2440199539208012E-034
   1001.3400000000000        3.5622262199894090E-034
   1001.3500000000000        3.9114043718040469E-034
   1001.3600000000000        4.2945452142324696E-034
   1001.3700000000000        4.7149260321033314E-034
   1001.3800000000000        5.1761378050935188E-034
   1001.3900000000000        5.6821149861612354E-034
   1001.4000000000000        6.2371680829178446E-034
   1001.4100000000000        6.8460193034873905E-034
   1001.4200000000000        7.5138415525927866E-034
   1001.4299999999999        8.2463010900150534E-034
   1001.4400000000001        9.0496041924055639E-034
   1001.4500000000000        9.9305481908249721E-034
   1001.4600000000000        1.0896577290923519E-033
   1001.4700000000000        1.1955843619823358E-033
   1001.4800000000000        1.3117273984984251E-033
   1001.4900000000000        1.4390642874769746E-033
   1001.5000000000000        1.5786652279191071E-033
   1001.5100000000000        1.7317018962422064E-033
   1001.5200000000000        1.8994569876650296E-033
   1001.5300000000000        2.0833346470052897E-033
   1001.5400000000000        2.2848718710682855E-033
   1001.5500000000000        2.5057509723274355E-033
   1001.5599999999999        2.7478132018062526E-033
   1001.5700000000001        3.0130736380236655E-033
   1001.5800000000000        3.3037374586052473E-033
   1001.5900000000000        3.6222177218714731E-033
   1001.6000000000000        3.9711547972155438E-033
   1001.6100000000000        4.3534375958439353E-033
   1001.6200000000000        4.7722267671901248E-033
   1001.6300000000000        5.2309800413744979E-033
   1001.6400000000000        5.7334799144816694E-033
   1001.6500000000000        6.2838638913015238E-033
   1001.6600000000000        6.8866575196660056E-033
   1001.6700000000000        7.5468104717520398E-033
   1001.6799999999999        8.2697359508651376E-033
   1001.6900000000001        9.0613537274525787E-033
   1001.7000000000000        9.9281371355156303E-033
   1001.7100000000000        1.0877164390733487E-032
   1001.7200000000000        1.1916174623929055E-032
   1001.7300000000000        1.3053629059367714E-032
   1001.7400000000000        1.4298777805934276E-032
   1001.7500000000000        1.5661732771479956E-032
   1001.7600000000000        1.7153547256590058E-032
   1001.7700000000000        1.8786302834073657E-032
   1001.7800000000000        2.0573204175006977E-032
   1001.7900000000000        2.2528682541535089E-032
   1001.8000000000000        2.4668508731297690E-032
   1001.8099999999999        2.7009916328756159E-032
   1001.8200000000001        2.9571736195399709E-032
   1001.8300000000000        3.2374543214063792E-032
   1001.8400000000000        3.5440816394102441E-032
   1001.8500000000000        3.8795113542051878E-032
   1001.8600000000000        4.2464261811140868E-032
   1001.8700000000000        4.6477565559613357E-032
   1001.8800000000000        5.0867033075616912E-032
   1001.8900000000000        5.5667623865247049E-032
   1001.9000000000000        6.0917518351436405E-032
   1001.9100000000000        6.6658411995840123E-032
   1001.9200000000000        7.2935836034787209E-032
   1001.9299999999999        7.9799507215061971E-032
   1001.9400000000001        8.7303709127209997E-032
   1001.9500000000000        9.5507707963838913E-032
   1001.9600000000000        1.0447620578296339E-031
   1001.9700000000000        1.1427983462606973E-031
   1001.9800000000000        1.2499569514015331E-031
   1001.9900000000000        1.3670794367383819E-031
   1002.0000000000000        1.4950843216907987E-031
   1002.0100000000000        1.6349740555138800E-031
   1002.0200000000000        1.7878426173639719E-031
   1002.0300000000000        1.9548837982169823E-031
   1002.0400000000000        2.1374002252333222E-031
   1002.0500000000000        2.3368131944960188E-031
   1002.0599999999999        2.5546733838446522E-031
   1002.0700000000001        2.7926725238335257E-031
   1002.0800000000000        3.0526561116709208E-031
   1002.0900000000000        3.3366372605011623E-031
   1002.1000000000000        3.6468117843846601E-031
   1002.1100000000000        3.9855746282211315E-031
   1002.1200000000000        4.3555377613599287E-031
   1002.1300000000000        4.7595496640424862E-031
   1002.1400000000000        5.2007165471033515E-031
   1002.1500000000000        5.6824254576110382E-031
   1002.1600000000000        6.2083694364501127E-031
   1002.1700000000000        6.7825749083082800E-031
   1002.1799999999999        7.4094315002504676E-031
   1002.1900000000001        8.0937245021347792E-031
   1002.2000000000000        8.8406702006100067E-031
   1002.2100000000000        9.6559543387331669E-031
   1002.2200000000000        1.0545773974835783E-030
   1002.2300000000000        1.1516883038280475E-030
   1002.2400000000000        1.2576641905369710E-030
   1002.2500000000000        1.3733071346711975E-030
   1002.2600000000000        1.4994911227731386E-030
   1002.2700000000000        1.6371684376998991E-030
   1002.2800000000000        1.7873766072875529E-030
   1002.2900000000000        1.9512459637829701E-030
   1002.3000000000000        2.1300078671988267E-030
   1002.3099999999999        2.3250036503267582E-030
   1002.3200000000001        2.5376943481158280E-030
   1002.3300000000000        2.7696712794991135E-030
   1002.3400000000000        3.0226675556548190E-030
   1002.3500000000000        3.2985705949525505E-030
   1002.3600000000000        3.5994357318091517E-030
   1002.3700000000000        3.9275010141018220E-030
   1002.3800000000000        4.2852032919108132E-030
   1002.3900000000000        4.6751957091570399E-030
   1002.4000000000000        5.1003667192380065E-030
   1002.4100000000000        5.5638607561143273E-030
   1002.4200000000000        6.0691007035181938E-030
   1002.4299999999999        6.6198123171258322E-030
   1002.4400000000001        7.2200507677377444E-030
   1002.4500000000000        7.8742294877705894E-030
   1002.4600000000000        8.5871515190238006E-030
   1002.4700000000000        9.3640435762638507E-030
   1002.4800000000000        1.0210593059640099E-029
   1002.4900000000000        1.1132988268571273E-029
   1002.5000000000000        1.2137962091215724E-029
   1002.5100000000000        1.3232839466851598E-029
   1002.5200000000000        1.4425588943665672E-029
   1002.5300000000000        1.5724878681723387E-029
   1002.5400000000000        1.7140137280453828E-029
   1002.5500000000000        1.8681619842011396E-029
   1002.5599999999999        2.0360479716583107E-029
   1002.5700000000001        2.2188846413328621E-029
   1002.5800000000000        2.4179910201232256E-029
   1002.5900000000000        2.6348013968716157E-029
   1002.6000000000000        2.8708752957933598E-029
   1002.6100000000000        3.1279083042168273E-029
   1002.6200000000000        3.4077438270405364E-029
   1002.6300000000000        3.7123858464032435E-029
   1002.6400000000000        4.0440127716366269E-029
   1002.6500000000000        4.4049924716933380E-029
   1002.6600000000000        4.7978985899552556E-029
   1002.6700000000000        5.2255282496766137E-029
   1002.6799999999999        5.6909212673572623E-029
   1002.6900000000001        6.1973810011338999E-029
   1002.7000000000000        6.7484969718296470E-029
   1002.7100000000000        7.3481694058946506E-029
   1002.7200000000000        8.0006358616778330E-029
   1002.7300000000000        8.7105001141056234E-029
   1002.7400000000000        9.4827634872621960E-029
   1002.7500000000000        1.0322858840138540E-028
   1002.7600000000000        1.1236687427834545E-028
   1002.7700000000000        1.2230658878919358E-028
   1002.7800000000000        1.3311734549584433E-028
   1002.7900000000000        1.4487474536783796E-028
   1002.8000000000000        1.5766088655880801E-028
   1002.8099999999999        1.7156491713549866E-028
   1002.8200000000001        1.8668363433989132E-028
   1002.8300000000000        2.0312213425894265E-028
   1002.8400000000000        2.2099451609930440E-028
   1002.8500000000000        2.4042464560353380E-028
   1002.8600000000000        2.6154698252365177E-028
   1002.8700000000000        2.8450747746787622E-028
   1002.8800000000000        3.0946454387405960E-028
   1002.8900000000000        3.3659011133495914E-028
   1002.9000000000000        3.6607076701049250E-028
   1002.9100000000000        3.9810899241366469E-028
   1002.9200000000000        4.3292450345269221E-028
   1002.9299999999999        4.7075570225614907E-028
   1002.9400000000001        5.1186125000463048E-028
   1002.9500000000000        5.5652177074147873E-028
   1002.9600000000000        6.0504169695823726E-028
   1002.9700000000000        6.5775126861255580E-028
   1002.9800000000000        7.1500869820187943E-028
   1002.9900000000000        7.7720251553226362E-028
   1003.0000000000000        8.4475410693287676E-028
   1003.0100000000000        9.1812046486323286E-028
   1003.0200000000000        9.9779716515328322E-028
   1003.0300000000000        1.0843215905129964E-027
   1003.0400000000000        1.1782764204565318E-027
   1003.0500000000000        1.2802934094150112E-027
   1003.0599999999999        1.3910574765713008E-027
   1003.0700000000001        1.5113111328510741E-027
   1003.0800000000000        1.6418592725459347E-027
   1003.0900000000000        1.7835743592881515E-027
   1003.1000000000000        1.9374020384394508E-027
   1003.1100000000000        2.1043672105849946E-027
   1003.1200000000000        2.2855806035817958E-027
   1003.1300000000000        2.4822458836276245E-027
   1003.1400000000000        2.6956673490616333E-027
   1003.1500000000000        2.9272582541104747E-027
   1003.1600000000000        3.1785498135756206E-027
   1003.1700000000000        3.4512009435369137E-027
   1003.1799999999999        3.7470087975494283E-027
   1003.1900000000001        4.0679201625659976E-027
   1003.2000000000000        4.4160437839142717E-027
   1003.2100000000000        4.7936636942660518E-027
   1003.2200000000000        5.2032536273708330E-027
   1003.2300000000000        5.6474926038866622E-027
   1003.2400000000000        6.1292817835046603E-027
   1003.2500000000000        6.6517626850736906E-027
   1003.2600000000000        7.2183368844976101E-027
   1003.2700000000000        7.8326873088834481E-027
   1003.2800000000000        8.4988012548028613E-027
   1003.2900000000000        9.2209952686505474E-027
   1003.3000000000000        1.0003942037993441E-026
   1003.3099999999999        1.0852699454569068E-026
   1003.3200000000001        1.1772742022280343E-026
   1003.3300000000000        1.2769994797133701E-026
   1003.3400000000000        1.3850870061019122E-026
   1003.3500000000000        1.5022306946747067E-026
   1003.3600000000000        1.6291814249236289E-026
   1003.3700000000000        1.7667516675970672E-026
   1003.3800000000000        1.9158204809797526E-026
   1003.3900000000000        2.0773389078538072E-026
   1003.4000000000000        2.2523358048959953E-026
   1003.4100000000000        2.4419241387520215E-026
   1003.4200000000000        2.6473077857071881E-026
   1003.4299999999999        2.8697888747570198E-026
   1003.4400000000001        3.1107757169928633E-026
   1003.4500000000000        3.3717913675439359E-026
   1003.4600000000000        3.6544828699814876E-026
   1003.4700000000000        3.9606312368762668E-026
   1003.4800000000000        4.2921622244760428E-026
   1003.4900000000000        4.6511579639157670E-026
   1003.5000000000000        5.0398695162385390E-026
   1003.5100000000000        5.4607304237209249E-026
   1003.5200000000000        5.9163713356148296E-026
