Gaussian broadening with full width at half max of   3.000   eV
        Energy(eV)              Intensity (arb. units)
   1000.0000000000000        1.7353752963555071E-048
   1000.0100000000000        1.9408128808276990E-048
   1000.0200000000000        2.1704368917093650E-048
   1000.0300000000000        2.4270789367098912E-048
   1000.0400000000000        2.7139002537994979E-048
   1000.0500000000000        3.0344298630419167E-048
   1000.0599999999999        3.3926071083656453E-048
   1000.0700000000001        3.7928290914080376E-048
   1000.0800000000000        4.2400035566186300E-048
   1000.0900000000000        4.7396078504484593E-048
   1000.1000000000000        5.2977546480004468E-048
   1000.1100000000000        5.9212652193701690E-048
   1000.1200000000000        6.6177510953788701E-048
   1000.1300000000000        7.3957050898722153E-048
   1000.1400000000000        8.2646027441615597E-048
   1000.1500000000000        9.2350153798068633E-048
   1000.1600000000000        1.0318736080117627E-047
   1000.1700000000000        1.1528920070026593E-047
   1000.1799999999999        1.2880241130021510E-047
   1000.1900000000001        1.4389065864527536E-047
   1000.2000000000000        1.6073647850413898E-047
   1000.2100000000000        1.7954343920097651E-047
   1000.2200000000000        2.0053855087156947E-047
   1000.2300000000000        2.2397494905450376E-047
   1000.2400000000000        2.5013488366485614E-047
   1000.2500000000000        2.7933304789132034E-047
   1000.2600000000000        3.1192028544034125E-047
   1000.2700000000000        3.4828771886718685E-047
   1000.2800000000000        3.8887134653227193E-047
   1000.2900000000000        4.3415716105454695E-047
   1000.3000000000000        4.8468684806207742E-047
   1000.3099999999999        5.4106413062878521E-047
   1000.3200000000001        6.0396183210940947E-047
   1000.3300000000000        6.7412973821655439E-047
   1000.3400000000000        7.5240334824177792E-047
   1000.3500000000000        8.3971361534364686E-047
   1000.3600000000000        9.3709778701401499E-047
   1000.3700000000000        1.0457114692203532E-046
   1000.3800000000000        1.1668420515045960E-046
   1000.3900000000000        1.3019236456221967E-046
   1000.4000000000000        1.4525537073056287E-046
   1000.4100000000000        1.6205115296176803E-046
   1000.4200000000000        1.8077788173311793E-046
   1000.4299999999999        2.0165625750606046E-046
   1000.4400000000001        2.2493205677361399E-046
   1000.4500000000000        2.5087896407105030E-046
   1000.4600000000000        2.7980172187309443E-046
   1000.4700000000000        3.1203963383203981E-046
