State  Frequency(eV)  OscillatorStrength  TransitionMoment_x  y  z  Trans.Dipole.Mom.(D) e-size(A)  RMS_e-h(A)  QTa  LOCa
1 1018.1640 0.0007681878 -0.0045 -0.0032 -0.0004 0.014105 1.147473 1.155543 0.000453 0.0443
2 1021.8340 0.0000137744 -0.0003 0.0007 0.0001 0.001885 1.454506 3.990535 0.000039 0.0026
3 1022.2625 0.0001184936 -0.0017 0.0014 -0.0002 0.005529 0.700610 3.197225 0.000088 0.0186
4 1022.5483 0.0007572604 0.0054 -0.0008 -0.0005 0.013974 0.955765 3.169692 0.000021 0.0075
5 1023.3299 0.0000183526 -0.0005 -0.0007 -0.0002 0.002175 1.578419 3.263861 0.000007 0.0040
6 1024.1284 0.0001478741 0.0022 -0.0009 -0.0001 0.006171 1.094340 3.148054 0.000064 0.0086
7 1024.3983 0.0000109000 0.0002 -0.0006 -0.0001 0.001675 1.868158 3.973790 0.000015 0.0033
8 1025.2674 0.0000157775 0.0000 0.0008 0.0000 0.002014 2.074885 3.433429 0.000024 0.0058
9 1026.9122 0.0001823904 -0.0021 0.0017 0.0001 0.006844 0.682341 3.176744 0.000035 0.0035
10 1026.9998 0.0000561095 -0.0015 0.0001 0.0002 0.003796 1.895192 3.247916 0.000026 0.0044
11 1027.0482 0.0000031165 0.0003 -0.0001 -0.0002 0.000895 2.407729 3.719383 0.000034 0.0056
12 1028.7516 0.0001553912 -0.0006 0.0024 -0.0000 0.006311 1.426762 3.268240 0.000090 0.0068
13 1028.8698 0.0001223732 -0.0012 0.0018 -0.0002 0.005600 1.990106 3.518301 0.000051 0.0096
14 1030.0355 0.0017558531 -0.0047 0.0068 0.0010 0.021202 1.699076 3.087060 0.000123 0.0121
15 1030.8112 0.0194155936 0.0161 -0.0225 -0.0020 0.070476 1.559989 1.610696 0.000397 0.0393
16 1030.9487 0.0014062244 0.0045 -0.0059 -0.0007 0.018965 1.381453 4.028904 0.000112 0.0090
17 1032.4918 0.0000167572 0.0005 0.0003 0.0006 0.002069 1.465176 3.110142 0.000029 0.0038
18 1034.4263 0.0000111020 0.0000 0.0006 -0.0002 0.001682 1.639800 3.226766 0.000034 0.0034
19 1034.5175 0.0000041313 -0.0001 -0.0002 0.0004 0.001026 1.897801 3.231528 0.000056 0.0097
20 1035.5149 0.0000834415 -0.0008 -0.0016 -0.0002 0.004610 1.456110 3.141406 0.000167 0.0186
21 1035.6314 0.0000812008 -0.0017 -0.0007 0.0001 0.004547 2.512912 3.736055 0.000164 0.0164
22 1035.7525 0.0002003224 -0.0015 -0.0024 0.0000 0.007142 2.401706 3.410895 0.000140 0.0129
23 1036.7753 0.0006985900 -0.0043 -0.0029 -0.0004 0.013330 1.908203 1.978544 0.000591 0.0692
24 1037.2050 0.0001561078 0.0017 0.0017 0.0005 0.006300 1.697870 2.970507 0.000292 0.0311
25 1037.7933 0.0000012921 -0.0000 0.0001 0.0002 0.000573 0.716778 0.750543 0.000015 0.0024
26 1038.0921 0.0000228209 -0.0008 -0.0005 -0.0000 0.002408 1.383483 3.133900 0.000087 0.0105
27 1039.7737 0.0000078684 0.0003 0.0004 -0.0002 0.001413 1.579417 3.144401 0.000051 0.0074
28 1040.2818 0.0000002264 -0.0000 0.0001 0.0000 0.000240 0.616770 4.268093 0.000005 0.0009
29 1042.1320 0.0000007159 -0.0001 0.0001 -0.0001 0.000426 0.940144 4.071563 0.000010 0.0019
30 1045.2277 0.0000424170 0.0002 -0.0001 -0.0013 0.003271 0.868598 0.885102 0.000015 0.0064
31 1045.9642 0.0000126521 0.0004 -0.0003 -0.0004 0.001786 1.419699 3.139032 0.000045 0.0051
32 1046.0245 0.0000024560 -0.0000 0.0001 0.0003 0.000787 1.288190 3.201431 0.000018 0.0028
33 1046.1727 0.0000425455 -0.0002 0.0007 -0.0011 0.003275 1.601774 2.992476 0.000048 0.0052
34 1046.7536 0.0000148438 -0.0006 0.0005 0.0002 0.001934 1.314180 3.218421 0.000065 0.0077
35 1046.9235 0.0000135147 -0.0001 0.0007 0.0002 0.001845 1.955701 3.692623 0.000012 0.0037
36 1047.1077 0.0000333223 -0.0003 0.0005 -0.0010 0.002897 3.548085 3.585416 0.000061 0.0055
37 1047.1450 0.0000225284 0.0008 0.0002 0.0003 0.002382 3.642105 3.688279 0.000031 0.0071
38 1047.7140 0.0006689086 -0.0014 -0.0016 0.0047 0.012975 1.461740 1.469933 0.000146 0.0199
39 1048.5601 0.0000175728 -0.0007 -0.0003 -0.0002 0.002102 1.894208 2.980607 0.000096 0.0127
40 1048.6706 0.0000091890 -0.0001 -0.0000 0.0006 0.001520 2.126438 3.386078 0.000059 0.0063
41 1049.3416 0.0000413440 0.0002 0.0001 0.0013 0.003223 1.688757 3.026945 0.000045 0.0060
42 1049.7427 0.0000647347 -0.0013 -0.0009 0.0003 0.004033 1.215894 3.096965 0.000141 0.0192
43 1050.4193 0.0000767198 -0.0010 0.0012 -0.0006 0.004389 1.619017 1.659672 0.000208 0.0277
44 1050.6514 0.0011882132 0.0055 0.0040 0.0007 0.017269 1.815736 1.912446 0.000511 0.0605
45 1051.2081 0.0001461238 -0.0022 -0.0009 0.0003 0.006054 1.880086 2.922092 0.000198 0.0216
46 1051.8694 0.0000436171 -0.0010 -0.0007 0.0004 0.003307 1.363423 3.141380 0.000104 0.0124
47 1052.4801 0.0000090927 0.0003 0.0005 -0.0001 0.001509 2.780907 3.140495 0.000040 0.0099
48 1052.6030 0.0001040470 0.0016 0.0006 0.0011 0.005105 2.975890 3.079784 0.000143 0.0128
