State  Frequency(eV)  OscillatorStrength  TransitionMoment_x  y  z  Trans.Dipole.Mom.(D) e-size(A)  RMS_e-h(A)  QTa  LOCa
1 1016.7076 0.0021065600 -0.0031 0.0079 0.0037 0.023374 1.241436 1.306895 0.000306 0.0325
2 1018.1047 0.0005515123 -0.0012 0.0044 0.0012 0.011952 1.633312 1.786126 0.000417 0.0364
3 1020.6586 0.0000022693 0.0001 -0.0000 0.0003 0.000766 1.098652 3.755472 0.000016 0.0036
4 1020.8142 0.0000111896 -0.0006 0.0003 0.0001 0.001700 3.001665 3.641873 0.000011 0.0022
5 1020.9054 0.0000442649 0.0006 0.0008 0.0009 0.003381 3.059349 3.640350 0.000010 0.0022
6 1021.1206 0.0001067405 -0.0016 -0.0001 -0.0013 0.005250 2.881993 3.286750 0.000028 0.0047
7 1021.1968 0.0000297056 0.0004 -0.0004 -0.0009 0.002770 2.906077 3.356444 0.000049 0.0042
8 1021.5708 0.0000024303 -0.0000 0.0000 0.0003 0.000792 1.180853 3.745548 0.000010 0.0043
9 1022.0357 0.0001017649 0.0015 -0.0011 0.0009 0.005124 1.960144 3.455722 0.000079 0.0062
10 1022.1538 0.0000559946 -0.0004 -0.0010 -0.0010 0.003801 2.765159 3.286609 0.000031 0.0026
11 1022.2004 0.0000222938 0.0007 -0.0006 0.0002 0.002398 1.913334 3.303373 0.000043 0.0024
12 1022.4612 0.0000249001 -0.0000 0.0009 0.0005 0.002534 1.814962 4.035848 0.000033 0.0037
13 1022.5448 0.0000129128 0.0006 -0.0000 0.0004 0.001825 2.671530 3.299550 0.000037 0.0027
14 1023.7103 0.0000016164 -0.0000 -0.0000 -0.0003 0.000645 1.435975 3.866119 0.000016 0.0016
15 1024.7653 0.0000091012 0.0005 -0.0002 0.0003 0.001530 1.537919 3.625554 0.000015 0.0030
16 1025.6423 0.0000043706 0.0003 -0.0003 -0.0001 0.001060 1.327308 3.519568 0.000018 0.0016
17 1027.3198 0.0000809178 -0.0011 -0.0002 -0.0014 0.004557 0.657541 3.394125 0.000021 0.0081
18 1027.7392 0.0002639601 0.0012 0.0013 0.0027 0.008230 1.101969 3.138790 0.000071 0.0061
19 1028.2521 0.0004052165 0.0017 0.0014 0.0034 0.010194 1.471169 3.312475 0.000074 0.0066
20 1028.9704 0.0000030696 -0.0002 -0.0001 -0.0003 0.000887 0.634374 3.645694 0.000007 0.0007
21 1029.3201 0.0182238281 0.0113 0.0105 0.0220 0.068328 1.182519 1.195622 0.000426 0.0386
22 1030.6845 0.0000185986 -0.0001 -0.0000 -0.0008 0.002181 1.396780 3.492305 0.000043 0.0062
23 1031.0178 0.0000459297 -0.0008 0.0011 0.0002 0.003427 2.206112 3.504401 0.000055 0.0039
24 1031.2154 0.0000056517 -0.0000 0.0004 0.0002 0.001202 0.798208 3.127104 0.000018 0.0035
25 1031.3819 0.0000526002 0.0010 -0.0010 0.0002 0.003667 2.374716 3.475967 0.000103 0.0092
26 1031.9308 0.0000050139 0.0000 -0.0002 -0.0004 0.001132 1.288995 3.309088 0.000020 0.0023
27 1033.1061 0.0001722846 -0.0015 -0.0011 -0.0018 0.006631 1.474048 3.978695 0.000068 0.0095
28 1033.2614 0.0001391681 -0.0015 0.0003 -0.0018 0.005960 2.689276 3.310665 0.000132 0.0137
29 1033.4687 0.0007003810 -0.0033 -0.0012 -0.0039 0.013368 2.936018 3.672851 0.000190 0.0232
30 1033.6141 0.0003495771 0.0021 0.0003 0.0030 0.009444 3.492627 3.620974 0.000139 0.0145
31 1033.8924 0.0002098673 0.0024 0.0000 0.0016 0.007316 2.794309 3.284802 0.000230 0.0267
32 1034.8514 0.0015434973 0.0055 -0.0048 0.0029 0.019832 2.255773 2.393933 0.000574 0.0624
33 1035.0944 0.0002447343 -0.0023 0.0015 -0.0015 0.007896 1.602038 3.588068 0.000215 0.0217
34 1035.5396 0.0000455258 -0.0009 0.0010 0.0002 0.003405 1.773744 3.426662 0.000111 0.0109
35 1036.9520 0.0000177893 -0.0001 0.0008 -0.0003 0.002127 1.294728 1.361342 0.000037 0.0067
36 1037.4576 0.0000121158 -0.0000 0.0006 0.0003 0.001755 1.658725 3.099080 0.000262 0.0251
37 1038.0236 0.0000084969 -0.0001 -0.0005 0.0002 0.001469 1.139159 3.218804 0.000025 0.0049
38 1038.3038 0.0000002538 0.0001 -0.0001 -0.0001 0.000254 0.732298 3.738920 0.000019 0.0015
39 1040.0334 0.0000072360 -0.0001 0.0004 0.0003 0.001355 1.652165 3.517176 0.000030 0.0051
40 1040.7210 0.0000153828 0.0001 -0.0006 -0.0004 0.001974 1.608430 3.376701 0.000026 0.0038
41 1041.4798 0.0000052119 -0.0000 -0.0001 -0.0004 0.001149 1.512448 3.840408 0.000008 0.0027
42 1043.2909 0.0000424593 0.0009 -0.0008 0.0003 0.003276 1.804254 3.375690 0.000025 0.0063
43 1043.3642 0.0000067822 0.0001 -0.0004 -0.0003 0.001309 2.071213 3.327338 0.000031 0.0055
44 1043.8612 0.0000263022 0.0000 -0.0005 -0.0009 0.002578 3.005635 3.397980 0.000032 0.0063
45 1043.9301 0.0000053390 0.0002 -0.0001 0.0004 0.001161 2.942477 3.432309 0.000026 0.0063
46 1043.9622 0.0000004621 0.0000 -0.0001 0.0000 0.000342 1.832064 3.267423 0.000032 0.0035
47 1044.6354 0.0000347032 -0.0002 -0.0011 0.0002 0.002960 2.277420 2.447537 0.000059 0.0117
48 1044.8323 0.0000391775 0.0004 -0.0012 -0.0002 0.003144 1.937728 3.134733 0.000067 0.0106
49 1045.1614 0.0000486135 0.0010 0.0008 -0.0004 0.003502 1.734853 3.189983 0.000057 0.0069
50 1045.4541 0.0001420523 0.0013 0.0012 -0.0015 0.005986 2.676042 2.890460 0.000037 0.0069
51 1045.5499 0.0000319635 0.0004 0.0007 -0.0008 0.002839 2.748254 3.298008 0.000054 0.0079
52 1046.0029 0.0000112290 0.0003 0.0006 -0.0000 0.001683 1.460578 3.591559 0.000015 0.0025
53 1046.0661 0.0004609563 -0.0012 0.0039 -0.0012 0.010780 1.911964 1.930844 0.000280 0.0377
54 1046.4199 0.0003729142 -0.0036 0.0010 0.0008 0.009694 2.177227 2.275134 0.000279 0.0356
55 1046.6663 0.0000949255 -0.0019 0.0004 0.0003 0.004890 1.801466 3.489724 0.000129 0.0167
56 1047.1039 0.0000698264 0.0005 -0.0010 -0.0012 0.004193 2.112933 3.033077 0.000048 0.0068
57 1047.4956 0.0000848768 0.0015 0.0007 -0.0008 0.004622 2.124137 3.048593 0.000048 0.0075
58 1047.8595 0.0000015311 -0.0002 0.0000 -0.0001 0.000621 1.286338 3.290164 0.000045 0.0058
59 1048.3941 0.0000707073 -0.0006 0.0016 -0.0001 0.004217 1.783602 1.890128 0.000215 0.0310
60 1049.0009 0.0000125427 -0.0004 -0.0005 -0.0001 0.001776 1.361736 4.051977 0.000017 0.0032
61 1049.1011 0.0000292934 -0.0005 -0.0006 -0.0007 0.002713 2.606084 3.111765 0.000073 0.0119
62 1049.2519 0.0000024007 -0.0001 0.0002 0.0002 0.000777 2.713345 3.099295 0.000080 0.0110
63 1049.5754 0.0000088773 -0.0003 0.0004 -0.0003 0.001493 1.902238 3.291958 0.000040 0.0064
64 1049.7734 0.0000185666 -0.0007 -0.0005 -0.0001 0.002160 1.935842 3.323224 0.000036 0.0049
65 1049.8134 0.0000077396 0.0001 0.0005 -0.0003 0.001394 1.775642 3.893061 0.000020 0.0040
66 1050.0755 0.0000045217 0.0002 -0.0001 0.0004 0.001066 1.720851 3.695763 0.000010 0.0029
67 1050.8577 0.0001575047 0.0004 0.0023 0.0008 0.006287 1.963881 3.166876 0.000060 0.0063
68 1050.9654 0.0000043894 -0.0003 -0.0002 -0.0001 0.001049 2.332147 3.642868 0.000018 0.0021
69 1051.0746 0.0000082509 -0.0001 -0.0005 -0.0001 0.001439 2.053007 3.927865 0.000023 0.0027
70 1051.3282 0.0000133633 0.0007 0.0000 0.0002 0.001831 2.050631 3.555806 0.000032 0.0040
71 1052.3978 0.0000080827 -0.0002 0.0002 -0.0005 0.001423 1.825413 3.511882 0.000016 0.0051
72 1052.5041 0.0000041285 0.0004 -0.0000 0.0002 0.001017 1.849061 3.627873 0.000031 0.0038
73 1053.5948 0.0000113868 0.0004 0.0003 -0.0004 0.001688 0.802231 3.575533 0.000011 0.0013
74 1055.1341 0.0030739176 -0.0070 -0.0059 0.0060 0.027717 1.829040 2.232331 0.000013 0.0057
75 1055.2923 0.0017271683 -0.0052 -0.0032 0.0054 0.020775 1.900383 2.838418 0.000067 0.0076
76 1055.7286 0.0005374273 0.0030 0.0023 -0.0026 0.011586 1.729503 3.087250 0.000026 0.0046
77 1056.0228 0.0000119854 0.0006 0.0003 -0.0001 0.001730 1.330346 3.920887 0.000008 0.0010
