State  Frequency(eV)  OscillatorStrength  TransitionMoment_x  y  z  Trans.Dipole.Mom.(D) e-size(A)  RMS_e-h(A)  QTa  LOCa
1 518.3302 0.0019273899 0.0083 -0.0091 -0.0003 0.031314 3.409410 3.642642 0.004995 0.0741
2 518.9629 0.0018684211 -0.0053 -0.0070 -0.0083 0.030812 4.056666 4.252658 0.003396 0.0269
3 519.4065 0.0015019334 -0.0051 0.0087 -0.0041 0.027614 3.842646 4.182111 0.002345 0.0291
4 519.9534 0.0016095553 0.0077 0.0029 -0.0076 0.028571 3.489590 4.241886 0.001832 0.0374
5 520.2887 0.0003672853 0.0022 -0.0049 0.0002 0.013644 4.104210 4.465853 0.002602 0.0656
6 520.6456 0.0003209089 0.0025 0.0008 -0.0043 0.012749 3.777637 4.369679 0.001630 0.0466
7 520.7982 0.0035930409 -0.0128 0.0105 0.0030 0.042653 3.927496 4.022050 0.004593 0.0995
8 521.1722 0.0001671759 0.0006 0.0016 -0.0032 0.009197 4.394467 4.531609 0.001046 0.0291
9 521.5869 0.0023367689 0.0054 -0.0017 0.0123 0.034371 3.678949 4.548641 0.002928 0.0373
10 521.6925 0.0059634315 -0.0033 0.0093 -0.0192 0.054903 3.544874 3.908835 0.003341 0.0430
11 521.9503 0.0053099250 0.0113 -0.0145 -0.0088 0.051794 3.732480 3.883265 0.002414 0.0569
12 522.2416 0.0055022009 -0.0090 -0.0172 -0.0073 0.052709 3.877407 3.999142 0.002344 0.0496
13 522.5149 0.0066978642 0.0124 0.0093 0.0169 0.058140 3.412228 3.849861 0.003217 0.0377
14 522.9661 0.0030663128 0.0048 0.0031 -0.0144 0.039321 3.466242 3.538586 0.002099 0.0401
15 523.2317 0.0040067877 0.0165 -0.0035 0.0052 0.044937 3.173301 3.668810 0.002550 0.0654
16 523.6013 0.0055448391 0.0131 -0.0011 0.0161 0.052844 3.744048 3.792853 0.003867 0.1424
17 523.8217 0.0003740737 -0.0049 -0.0005 0.0022 0.013723 3.712359 3.975567 0.002376 0.1150
18 524.1392 0.0012472813 -0.0014 -0.0062 -0.0075 0.025050 3.589509 3.604434 0.001598 0.0767
19 524.5324 0.0006683516 -0.0064 -0.0032 -0.0006 0.018330 3.754737 4.232053 0.001743 0.0567
20 524.7779 0.0005032478 -0.0040 0.0015 -0.0046 0.015902 3.680357 4.174493 0.001202 0.0459
21 524.9640 0.0023843124 -0.0090 -0.0092 -0.0045 0.034607 3.414862 4.237642 0.001885 0.0785
22 525.1364 0.0006694161 -0.0071 0.0009 0.0003 0.018334 3.616166 3.904726 0.001462 0.0624
23 525.2762 0.0002474052 0.0037 -0.0024 -0.0001 0.011145 3.732824 4.028697 0.001257 0.0486
24 525.2963 0.0027623353 -0.0021 -0.0097 -0.0108 0.037238 3.671088 3.911327 0.002984 0.1307
25 525.4663 0.0051655153 0.0110 0.0167 -0.0008 0.050914 4.031914 4.147514 0.001936 0.0653
26 525.7317 0.0018502954 -0.0004 -0.0081 -0.0088 0.030464 3.605398 3.672171 0.002102 0.0863
27 525.8072 0.0022477022 0.0056 -0.0093 0.0075 0.033574 3.528638 4.053261 0.002552 0.0515
28 525.9411 0.0001769165 -0.0035 0.0009 -0.0006 0.009418 3.742574 4.370028 0.000867 0.0596
29 526.1992 0.0025538003 0.0036 -0.0067 -0.0119 0.035774 3.435353 3.863898 0.001573 0.0593
30 526.3168 0.0040730728 -0.0097 0.0101 0.0109 0.045174 3.934536 4.285702 0.002588 0.0524
31 526.3679 0.0007205120 -0.0020 -0.0013 0.0071 0.018999 3.363228 3.731329 0.001254 0.0719
32 526.5095 0.0005575223 0.0010 -0.0065 0.0003 0.016710 4.042980 4.308491 0.001537 0.0664
33 526.6168 0.0003909790 -0.0012 0.0017 -0.0051 0.013992 3.932793 4.133408 0.001417 0.0431
34 526.8180 0.0006715698 0.0021 0.0021 0.0066 0.018334 4.067460 4.251200 0.001350 0.0553
35 526.9965 0.0020415130 -0.0107 -0.0031 -0.0059 0.031961 3.803025 4.073408 0.001759 0.0523
36 527.2245 0.0023392736 -0.0031 -0.0116 -0.0061 0.034205 3.911906 3.969546 0.001576 0.0565
37 527.2645 0.0031135487 0.0052 -0.0125 0.0076 0.039461 3.607241 4.205037 0.002466 0.0792
38 527.3676 0.0009716471 -0.0055 -0.0037 0.0056 0.022042 4.034343 4.152919 0.000991 0.0579
39 527.5127 0.0011041811 0.0017 0.0055 0.0072 0.023494 3.955188 4.084048 0.001424 0.0669
40 527.6399 0.0016200201 -0.0063 0.0092 -0.0006 0.028454 4.074947 4.174210 0.002196 0.0635
41 527.7605 0.0022671451 0.0100 -0.0085 -0.0020 0.033657 4.132530 4.361160 0.002006 0.0344
42 528.0604 0.0018318165 -0.0098 0.0054 -0.0041 0.030245 3.812490 4.125541 0.001674 0.0390
43 528.1603 0.0013373577 0.0092 0.0014 -0.0042 0.025840 3.585925 4.109954 0.001130 0.0409
44 528.2415 0.0003568422 -0.0015 0.0027 -0.0042 0.013347 3.546596 4.150898 0.001274 0.0454
45 528.3054 0.0010300960 -0.0045 -0.0060 -0.0048 0.022675 4.198775 4.261805 0.001103 0.0484
46 528.5870 0.0006202743 -0.0055 0.0042 -0.0001 0.017591 3.824335 4.109253 0.001235 0.0427
47 528.6439 0.0007354475 0.0063 0.0041 0.0003 0.019153 3.500949 3.863461 0.001205 0.0975
48 529.0044 0.0005728618 -0.0004 -0.0038 -0.0055 0.016899 4.053080 4.217939 0.001010 0.0753
49 529.0959 0.0008648472 -0.0024 0.0029 -0.0073 0.020761 3.865774 4.204101 0.001132 0.0452
50 529.2627 0.0007325938 0.0007 -0.0061 -0.0044 0.019105 4.023095 4.310253 0.000847 0.0651
51 529.6748 0.0013179231 0.0092 0.0035 -0.0020 0.025615 3.915575 4.100018 0.001067 0.0597
52 529.8549 0.0031307094 -0.0026 -0.0033 0.0150 0.039473 3.843880 3.929367 0.001336 0.0849
53 529.9690 0.0000892433 -0.0019 0.0017 0.0008 0.006664 3.838239 4.266015 0.000892 0.0791
54 530.1948 0.0013428441 0.0060 -0.0073 0.0037 0.025843 3.819003 4.258872 0.001712 0.0657
55 530.5578 0.0006046989 -0.0012 0.0048 -0.0047 0.017336 3.684136 4.283682 0.000955 0.0746
56 530.6768 0.0006741311 0.0038 0.0057 -0.0023 0.018302 3.839710 4.126855 0.000812 0.0651
57 531.0690 0.0012791834 0.0070 0.0020 0.0068 0.025203 3.632419 3.740241 0.002307 0.1040
58 531.2592 0.0017652023 0.0052 -0.0003 -0.0104 0.029600 3.684446 4.079073 0.001069 0.0622
59 531.6810 0.0025999341 0.0022 -0.0062 0.0125 0.035909 3.454150 3.603656 0.001669 0.1044
60 531.7503 0.0011207884 0.0036 0.0066 -0.0054 0.023576 3.641601 3.797450 0.001221 0.0710
61 532.0099 0.0012363860 -0.0092 -0.0016 0.0027 0.024755 3.660980 3.959508 0.001003 0.1360
62 532.1427 0.0015790209 0.0056 -0.0032 -0.0089 0.027973 3.896762 3.924425 0.001116 0.0591
63 532.6311 0.0002891325 -0.0038 -0.0024 -0.0014 0.011964 3.563576 3.735597 0.001349 0.1916
64 532.6886 0.0007103960 0.0019 0.0053 0.0048 0.018753 3.318452 3.390341 0.001024 0.0700
65 532.8872 0.0012650773 -0.0092 -0.0034 -0.0005 0.025020 3.567534 3.953618 0.000954 0.0665
66 533.1056 0.0018536380 -0.0104 0.0030 -0.0051 0.030280 3.750734 3.796564 0.001662 0.0831
67 533.2597 0.0004442236 -0.0049 -0.0008 0.0031 0.014821 3.573857 3.961861 0.000839 0.0910
68 533.8222 0.0006866233 -0.0022 0.0055 0.0041 0.018417 3.709046 3.886634 0.001307 0.1003
69 534.1065 0.0014532431 -0.0034 0.0063 -0.0077 0.026786 3.437292 4.067056 0.000770 0.0381
70 534.2851 0.0001704327 0.0002 -0.0033 -0.0013 0.009172 3.827618 4.054082 0.001031 0.0661
71 534.6715 0.0004090918 0.0040 -0.0029 -0.0027 0.014204 3.703572 3.727258 0.001066 0.0956
72 534.8086 0.0012171639 0.0014 0.0042 0.0086 0.024498 3.588837 3.688116 0.000938 0.0745
73 534.9233 0.0001619964 -0.0023 0.0009 0.0025 0.008936 3.538207 3.748012 0.001060 0.0972
74 535.1747 0.0001172501 0.0016 -0.0012 -0.0023 0.007601 3.540165 3.786654 0.000442 0.0677
75 535.3149 0.0005275128 -0.0063 0.0005 0.0005 0.016120 3.568399 3.920385 0.000693 0.0739
76 535.4712 0.0001809661 -0.0026 -0.0026 0.0003 0.009440 3.662914 3.779344 0.001011 0.0621
