State  Frequency(eV)  OscillatorStrength  TransitionMoment_x  y  z  Trans.Dipole.Mom.(D) e-size(A)  RMS_e-h(A)  QTa  LOCa
1 517.9608 0.0004430529 -0.0033 -0.0007 -0.0048 0.015019 2.603106 3.509367 0.004114 0.0811
2 519.4171 0.0023992516 0.0011 0.0110 -0.0081 0.034901 3.518060 3.639522 0.002973 0.0898
3 519.4397 0.0049027510 -0.0141 -0.0136 -0.0007 0.049889 3.210668 3.434725 0.003114 0.0758
4 520.2552 0.0033551060 -0.0086 0.0069 0.0119 0.041238 3.838739 3.871657 0.001301 0.0642
5 520.5280 0.0028334257 0.0098 0.0110 0.0023 0.037887 3.992636 4.096698 0.003002 0.0466
6 520.7706 0.0002742635 -0.0027 -0.0032 -0.0020 0.011785 4.144804 4.663444 0.001444 0.0220
7 521.0689 0.0004015017 -0.0027 -0.0007 0.0049 0.014254 4.017381 4.354702 0.001352 0.0332
8 521.5497 0.0050300647 0.0084 0.0139 -0.0115 0.050430 3.375996 3.478683 0.002382 0.0833
9 521.8721 0.0037294659 -0.0036 0.0161 -0.0044 0.043410 3.445586 3.573727 0.002307 0.0850
10 522.2841 0.0040168144 -0.0028 -0.0078 -0.0157 0.045034 3.387299 3.489949 0.002820 0.0899
11 522.4912 0.0028495462 0.0145 -0.0029 -0.0021 0.037923 3.536799 3.608923 0.001181 0.0899
12 522.9037 0.0015013099 -0.0084 0.0023 0.0065 0.027516 3.443354 3.665392 0.001549 0.0877
13 523.2350 0.0015791279 0.0071 0.0060 0.0061 0.028211 3.537744 3.913052 0.001322 0.0581
14 523.5551 0.0013125883 0.0043 0.0062 -0.0068 0.025712 3.303181 3.586576 0.001988 0.0955
15 524.0343 0.0047540127 -0.0086 -0.0172 -0.0012 0.048911 3.089887 3.279106 0.002475 0.1339
16 524.4624 0.0030197707 -0.0091 -0.0089 -0.0085 0.038966 3.338956 3.523946 0.003114 0.1408
17 524.7351 0.0003957617 0.0010 -0.0007 0.0054 0.014103 3.273084 3.637291 0.001451 0.0643
18 524.8786 0.0008905671 0.0079 -0.0027 -0.0005 0.021152 3.518568 4.173899 0.001003 0.0537
19 525.0834 0.0019714858 0.0008 -0.0116 -0.0043 0.031466 3.453901 3.685138 0.001455 0.0845
20 525.5113 0.0039821380 0.0087 -0.0142 0.0057 0.044701 3.613496 3.688981 0.001961 0.0656
21 525.6654 0.0029170495 -0.0064 -0.0134 0.0021 0.038253 3.789363 3.838732 0.001589 0.1334
22 525.7992 0.0031719319 0.0012 0.0083 -0.0132 0.039885 3.328719 3.458177 0.002845 0.0970
23 525.8892 0.0011155269 0.0056 -0.0020 0.0072 0.023651 3.871112 3.905077 0.001234 0.0836
24 525.9621 0.0048975905 0.0096 0.0004 -0.0170 0.049553 3.454641 3.611013 0.002061 0.0827
25 526.1266 0.0008352482 -0.0027 0.0059 0.0048 0.020460 3.557604 3.763511 0.002483 0.0994
26 526.2436 0.0003093393 0.0032 -0.0012 0.0035 0.012450 3.599270 3.738989 0.001849 0.0751
27 526.3911 0.0011640308 0.0077 0.0009 0.0055 0.024148 3.814766 4.055694 0.002159 0.1192
28 526.5218 0.0058204512 -0.0161 0.0012 -0.0138 0.053991 3.921829 3.979469 0.003247 0.0799
29 526.7309 0.0004268903 0.0035 -0.0034 0.0030 0.014619 3.878990 3.923616 0.001216 0.0656
30 526.8367 0.0012012633 -0.0021 -0.0030 0.0089 0.024521 3.560809 3.822225 0.001530 0.0553
31 527.0163 0.0007060495 0.0045 0.0034 0.0048 0.018796 3.766115 3.842938 0.001619 0.0677
32 527.1228 0.0007859953 -0.0023 -0.0055 0.0050 0.019829 3.558907 3.716911 0.001140 0.1204
33 527.1484 0.0039720930 0.0137 -0.0009 0.0109 0.044576 3.450402 3.865072 0.002404 0.0624
34 527.5378 0.0009880534 0.0003 0.0051 -0.0071 0.022224 3.492457 4.064073 0.001644 0.0701
