Gaussian broadening with full width at half max of   3.000   eV
        Energy(eV)              Intensity (arb. units)
   1000.0000000000000        3.6477469699130214E-039
   1000.0100000000000        4.0339070160764173E-039
   1000.0200000000000        4.4606725112407612E-039
   1000.0300000000000        4.9322840009387827E-039
   1000.0400000000000        5.4534217984586186E-039
   1000.0500000000000        6.0292512673680567E-039
   1000.0599999999999        6.6654727329879795E-039
   1000.0700000000001        7.3683764925140369E-039
   1000.0800000000000        8.1449034407299892E-039
   1000.0900000000000        9.0027118804555699E-039
   1000.1000000000000        9.9502511438088142E-039
   1000.1100000000000        1.0996842713571882E-038
   1000.1200000000000        1.2152769602997412E-038
   1000.1300000000000        1.3429374828537327E-038
   1000.1400000000000        1.4839169893663965E-038
   1000.1500000000000        1.6395954293944290E-038
   1000.1600000000000        1.8114947154693567E-038
   1000.1700000000000        2.0012932223735830E-038
   1000.1799999999999        2.2108417564039300E-038
   1000.1900000000001        2.4421811425407018E-038
   1000.2000000000000        2.6975615921896226E-038
   1000.2100000000000        2.9794640304548019E-038
   1000.2200000000000        3.2906235796459545E-038
   1000.2300000000000        3.6340554154219729E-038
   1000.2400000000000        4.0130832334592749E-038
   1000.2500000000000        4.4313705882240101E-038
   1000.2600000000000        4.8929553914299160E-038
   1000.2700000000000        5.4022878863408163E-038
   1000.2800000000000        5.9642724454612166E-038
   1000.2900000000000        6.5843135736439514E-038
   1000.3000000000000        7.2683665365168559E-038
   1000.3099999999999        8.0229930757321959E-038
   1000.3200000000001        8.8554227182423456E-038
   1000.3300000000000        9.7736202369104656E-038
   1000.3400000000000        1.0786359875073585E-037
   1000.3500000000000        1.1903307007842364E-037
   1000.3600000000000        1.3135107979689082E-037
   1000.3700000000000        1.4493488930617990E-037
   1000.3800000000000        1.5991364503354813E-037
   1000.3900000000000        1.7642957411895089E-037
   1000.4000000000000        1.9463929948240077E-037
   1000.4100000000000        2.1471528610082678E-037
   1000.4200000000000        2.3684743148448466E-037
   1000.4299999999999        2.6124481461894567E-037
   1000.4400000000001        2.8813761903920051E-037
   1000.4500000000000        3.1777924723669487E-037
   1000.4600000000000        3.5044864529277683E-037
   1000.4700000000000        3.8645285847100620E-037
   1000.4800000000000        4.2612984054124377E-037
   1000.4900000000000        4.6985154182849192E-037
   1000.5000000000000        5.1802730342447951E-037
   1000.5100000000000        5.7110758767880614E-037
   1000.5200000000000        6.2958807802533323E-037
   1000.5300000000000        6.9401418442318741E-037
   1000.5400000000000        7.6498599422625770E-037
   1000.5500000000000        8.4316371217223819E-037
   1000.5599999999999        9.2927363743320170E-037
   1000.5700000000001        1.0241147303318605E-036
   1000.5800000000000        1.1285658264311300E-036
   1000.5900000000000        1.2435935613304582E-036
   1000.6000000000000        1.3702610756075382E-036
   1000.6100000000000        1.5097375761149521E-036
   1000.6200000000000        1.6633088372003291E-036
   1000.6300000000000        1.8323887335163802E-036
   1000.6400000000000        2.0185319049526943E-036
   1000.6500000000000        2.2234476639388020E-036
   1000.6600000000000        2.4490152660172625E-036
   1000.6700000000000        2.6973006762540488E-036
   1000.6799999999999        2.9705749768394548E-036
   1000.6900000000001        3.2713345752457834E-036
   1000.7000000000000        3.6023233876290769E-036
   1000.7100000000000        3.9665571890509057E-036
   1000.7200000000000        4.3673503403918228E-036
   1000.7300000000000        4.8083451221202526E-036
   1000.7400000000000        5.2935439271092746E-036
   1000.7500000000000        5.8273445889125888E-036
   1000.7600000000000        6.4145791484136061E-036
   1000.7700000000000        7.0605563907824484E-036
   1000.7800000000000        7.7711085164527208E-036
   1000.7900000000000        8.5526423446285540E-036
   1000.8000000000000        9.4121954859275652E-036
   1000.8099999999999        1.0357497962470023E-035
