Gaussian broadening with full width at half max of   3.000   eV
        Energy(eV)              Intensity (arb. units)
   1000.0000000000000        1.2943446591147142E-041
   1000.0100000000000        1.4343582478947944E-041
   1000.0200000000000        1.5894196650376901E-041
   1000.0300000000000        1.7611355221775408E-041
   1000.0400000000000        1.9512828151924026E-041
   1000.0500000000000        2.1618268705173670E-041
   1000.0599999999999        2.3949411685765194E-041
   1000.0700000000001        2.6530292392861423E-041
   1000.0800000000000        2.9387488446591283E-041
   1000.0900000000000        3.2550386857621880E-041
   1000.1000000000000        3.6051478955957320E-041
   1000.1100000000000        3.9926686064893018E-041
   1000.1200000000000        4.4215719102130496E-041
   1000.1300000000000        4.8962475617222453E-041
   1000.1400000000000        5.4215478134802700E-041
   1000.1500000000000        6.0028358070103454E-041
   1000.1600000000000        6.6460389920699664E-041
   1000.1700000000000        7.3577080920464826E-041
   1000.1799999999999        8.1450821872671894E-041
   1000.1900000000001        9.0161605464312737E-041
   1000.2000000000000        9.9797819007335716E-041
   1000.2100000000000        1.1045711926442324E-040
   1000.2200000000000        1.2224739779523787E-040
   1000.2300000000000        1.3528784612340508E-040
   1000.2400000000000        1.4971013097079412E-040
   1000.2500000000000        1.6565969085030398E-040
   1000.2600000000000        1.8329716645817275E-040
   1000.2700000000000        2.0279997857258430E-040
   1000.2800000000000        2.2436406855925684E-040
   1000.2900000000000        2.4820581811899329E-040
   1000.3000000000000        2.7456416660141651E-040
   1000.3099999999999        3.0370294606837261E-040
   1000.3200000000001        3.3591345633763319E-040
   1000.3300000000000        3.7151730448710575E-040
   1000.3400000000000        4.1086953578716681E-040
   1000.3500000000000        4.5436208574339199E-040
   1000.3600000000000        5.0242758594723320E-040
   1000.3700000000000        5.5554355972788664E-040
   1000.3800000000000        6.1423704723545818E-040
   1000.3900000000000        6.7908970358406250E-040
   1000.4000000000000        7.5074341808283494E-040
   1000.4100000000000        8.2990650742144457E-040
   1000.4200000000000        9.1736054100069582E-040
   1000.4299999999999        1.0139678624530540E-039
   1000.4400000000001        1.1206798778390559E-039
   1000.4500000000000        1.2385461880788657E-039
   1000.4600000000000        1.3687246509919070E-039
   1000.4700000000000        1.5124924668393643E-039
   1000.4800000000000        1.6712583907221159E-039
   1000.4900000000000        1.8465761855161910E-039
   1000.5000000000000        2.0401594404171967E-039
   1000.5100000000000        2.2538978926788759E-039
   1000.5200000000000        2.4898754038850323E-039
   1000.5300000000000        2.7503897572149428E-039
   1000.5400000000000        3.0379744587803184E-039
   1000.5500000000000        3.3554227443782250E-039
   1000.5599999999999        3.7058140130747799E-039
   1000.5700000000001        4.0925429311001993E-039
   1000.5800000000000        4.5193514737387490E-039
   1000.5900000000000        4.9903641996286810E-039
   1000.6000000000000        5.5101270809867801E-039
   1000.6100000000000        6.0836502455779761E-039
   1000.6200000000000        6.7164550214713476E-039
   1000.6300000000000        7.4146257144458954E-039
   1000.6400000000000        8.1848665905179869E-039
   1000.6500000000000        9.0345645828619424E-039
   1000.6600000000000        9.9718582937922097E-039
   1000.6700000000000        1.1005713918927031E-038
   1000.6799999999999        1.2146008782633420E-038
   1000.6900000000001        1.3403623241937419E-038
   1000.7000000000000        1.4790541790703382E-038
   1000.7100000000000        1.6319964278253613E-038
   1000.7200000000000        1.8006428246158011E-038
   1000.7300000000000        1.9865943486315976E-038
   1000.7400000000000        2.1916140031691033E-038
   1000.7500000000000        2.4176430910305100E-038
   1000.7600000000000        2.6668191123831910E-038
   1000.7700000000000        2.9414954455659030E-038
   1000.7800000000000        3.2442629870745511E-038
   1000.7900000000000        3.5779739442453578E-038
   1000.8000000000000        3.9457679931114873E-038
   1000.8099999999999        4.3511010347190698E-038
   1000.8200000000001        4.7977768060165955E-038
   1000.8300000000000        5.2899816264378713E-038
   1000.8400000000000        5.8323225888773983E-038
   1000.8500000000000        6.4298695337097020E-038
   1000.8600000000000        7.0882011777299309E-038
