Gaussian broadening with full width at half max of   3.000   eV
        Energy(eV)              Intensity (arb. units)
   1000.0000000000000        2.6509253006541053E-054
   1000.0100000000000        2.9876994085240375E-054
   1000.0200000000000        3.3670499405405132E-054
   1000.0300000000000        3.7943331541462775E-054
   1000.0400000000000        4.2755757887958134E-054
   1000.0500000000000        4.8175585718316482E-054
   1000.0599999999999        5.4279100715193422E-054
   1000.0700000000001        6.1152121727109034E-054
   1000.0800000000000        6.8891186069498742E-054
   1000.0900000000000        7.7604881444670559E-054
   1000.1000000000000        8.7415342521017343E-054
   1000.1100000000000        9.8459932422976024E-054
   1000.1200000000000        1.1089313185887327E-053
   1000.1300000000000        1.2488866139308341E-053
   1000.1400000000000        1.4064186548548206E-053
   1000.1500000000000        1.5837239041656142E-053
   1000.1600000000000        1.7832719213659802E-053
   1000.1700000000000        2.0078391447304725E-053
   1000.1799999999999        2.2605468305949963E-053
   1000.1900000000001        2.5449036587662234E-053
   1000.2000000000000        2.8648535748968189E-053
   1000.2100000000000        3.2248295102106655E-053
   1000.2200000000000        3.6298136967251588E-053
   1000.2300000000000        4.0854053835287846E-053
   1000.2400000000000        4.5978968574528458E-053
   1000.2500000000000        5.1743587811750950E-053
   1000.2600000000000        5.8227359847011781E-053
   1000.2700000000000        6.5519549839198154E-053
   1000.2800000000000        7.3720446542861007E-053
   1000.2900000000000        8.2942716606570291E-053
   1000.3000000000000        9.3312924380965147E-053
   1000.3099999999999        1.0497323735609541E-052
   1000.3200000000001        1.1808333978025751E-052
   1000.3300000000000        1.3282257973662531E-052
   1000.3400000000000        1.4939237800959892E-052
   1000.3500000000000        1.6801893048679812E-052
   1000.3600000000000        1.8895623967729664E-052
   1000.3700000000000        2.1248951521255525E-052
   1000.3800000000000        2.3893898800063877E-052
   1000.3900000000000        2.6866418808281549E-052
   1000.4000000000000        3.0206874226410629E-052
   1000.4100000000000        3.3960575433290303E-052
   1000.4200000000000        3.8178383823446049E-052
   1000.4299999999999        4.2917388301547241E-052
   1000.4400000000001        4.8241663781940755E-052
   1000.4500000000000        5.4223121579945670E-052
   1000.4600000000000        6.0942462768416100E-052
   1000.4700000000000        6.8490246897833933E-052
   1000.4800000000000        7.6968089965293029E-052
   1000.4900000000000        8.6490007178363235E-052
   1000.5000000000000        9.7183917919914372E-052
   1000.5100000000000        1.0919333240077711E-051
   1000.5200000000000        1.2267924181542840E-051
   1000.5300000000000        1.3782223642069822E-051
   1000.5400000000000        1.5482487887178990E-051
   1000.5500000000000        1.7391436340975913E-051
   1000.5599999999999        1.9534549514140125E-051
   1000.5700000000001        2.1940402773139039E-051
   1000.5800000000000        2.4641040238674739E-051
   1000.5900000000000        2.7672393612137500E-051
   1000.6000000000000        3.1074751298454178E-051
   1000.6100000000000        3.4893283832695131E-051
   1000.6200000000000        3.9178632330638685E-051
   1000.6300000000000        4.3987567481369002E-051
   1000.6400000000000        4.9383727491754972E-051
   1000.6500000000000        5.5438444389638927E-051
   1000.6600000000000        6.2231669207125622E-051
   1000.6700000000000        6.9853007811130501E-051
   1000.6799999999999        7.8402880540890529E-051
   1000.6900000000001        8.7993820368567191E-051
   1000.7000000000000        9.8751926037636553E-051
   1000.7100000000000        1.1081848857989725E-050
   1000.7200000000000        1.2435181178008655E-050
