State  Frequency(eV)  OscillatorStrength  TransitionMoment_x  y  z  Trans.Dipole.Mom.(D) e-size(A)  RMS_e-h(A)  QTa  LOCa
1 1016.6751 0.0006573025 -0.0031 -0.0030 -0.0028 0.013057 1.077579 1.100766 0.000241 0.0242
2 1017.3489 0.0006270356 -0.0036 -0.0030 -0.0018 0.012749 1.253975 1.274037 0.000258 0.0355
3 1018.3354 0.0040427280 0.0067 0.0034 0.0103 0.032355 1.153959 1.183346 0.000483 0.0409
4 1021.2353 0.0000645996 0.0011 0.0008 0.0009 0.004084 1.463131 3.175543 0.000062 0.0051
5 1022.2004 0.0000082350 -0.0005 -0.0002 -0.0002 0.001458 1.476790 3.981514 0.000025 0.0040
6 1022.3271 0.0000991031 -0.0005 -0.0013 0.0014 0.005056 1.801646 3.586726 0.000052 0.0054
7 1022.4154 0.0000098238 -0.0000 -0.0006 0.0001 0.001592 1.314596 3.263958 0.000016 0.0026
8 1022.7556 0.0000312487 0.0006 0.0003 0.0009 0.002838 1.081883 3.212115 0.000050 0.0038
9 1023.0554 0.0000288719 -0.0006 -0.0007 0.0005 0.002728 2.209909 3.810415 0.000051 0.0073
10 1023.8991 0.0000215150 -0.0006 -0.0006 0.0002 0.002354 2.253364 3.479339 0.000059 0.0094
11 1024.4339 0.0000928764 0.0004 0.0015 -0.0012 0.004889 1.665183 3.481614 0.000039 0.0044
12 1025.0352 0.0001308229 -0.0019 -0.0009 0.0009 0.005801 1.956109 3.430441 0.000101 0.0201
13 1025.4415 0.0003592997 -0.0003 0.0033 0.0019 0.009612 2.003257 3.083010 0.000072 0.0142
14 1025.5202 0.0018520705 0.0055 0.0064 -0.0016 0.021823 2.263491 3.117816 0.000155 0.0371
15 1026.4173 0.0017882766 0.0018 0.0068 -0.0047 0.021434 2.256155 3.492334 0.000117 0.0178
16 1026.8095 0.0050320942 0.0037 0.0109 -0.0082 0.035949 2.331481 3.146879 0.000203 0.0188
17 1027.2874 0.0057535656 -0.0021 -0.0109 0.0102 0.038430 2.156896 2.680727 0.000222 0.0198
18 1028.1541 0.0000343696 -0.0006 -0.0002 -0.0010 0.002969 1.854902 3.724200 0.000025 0.0034
19 1028.9376 0.0000367995 0.0001 -0.0007 0.0010 0.003071 1.947041 3.887790 0.000040 0.0039
20 1029.1588 0.0001029349 0.0009 0.0014 -0.0011 0.005136 0.828973 3.098189 0.000039 0.0039
21 1029.2873 0.0000156815 0.0001 -0.0005 0.0006 0.002004 0.654893 3.078109 0.000014 0.0014
22 1029.6524 0.0001510387 0.0015 0.0019 -0.0001 0.006219 0.898564 3.001308 0.000060 0.0084
23 1029.9557 0.0000267731 -0.0004 -0.0008 0.0005 0.002618 2.772578 3.740952 0.000022 0.0020
24 1029.9652 0.0000128930 -0.0005 -0.0005 -0.0001 0.001817 2.564653 4.038949 0.000024 0.0023
25 1030.2653 0.0002044707 0.0016 -0.0001 0.0023 0.007234 1.135155 3.032153 0.000028 0.0210
26 1030.7218 0.0000329102 0.0006 0.0006 0.0008 0.002902 1.777263 3.282545 0.000147 0.0114
27 1031.2855 0.0000810240 -0.0010 -0.0008 -0.0012 0.004552 1.692903 3.681804 0.000166 0.0212
28 1031.6694 0.0000436572 0.0002 0.0012 -0.0004 0.003340 1.113536 1.176314 0.000146 0.0250
29 1032.3614 0.0005576447 0.0031 0.0029 0.0020 0.011935 2.174148 2.676428 0.000465 0.0548
30 1032.5579 0.0000984836 -0.0011 -0.0005 -0.0015 0.005015 2.322620 3.140309 0.000374 0.0417
31 1032.8085 0.0000146409 0.0002 0.0007 -0.0003 0.001933 0.997306 4.068831 0.000084 0.0088
32 1033.6365 0.0002521201 -0.0022 0.0005 -0.0022 0.008020 2.168238 3.070389 0.000192 0.0491
33 1033.8884 0.0000984226 0.0000 0.0003 0.0020 0.005010 1.735650 3.045216 0.000096 0.0241
