Gaussian broadening with full width at half max of   3.000   eV
        Energy(eV)              Intensity (arb. units)
   1000.0000000000000        1.6084310337548124E-020
   1000.0100000000000        1.7244791888705026E-020
   1000.0200000000000        1.8487863428840647E-020
   1000.0300000000000        1.9819319740293063E-020
   1000.0400000000000        2.1245356207683097E-020
   1000.0500000000000        2.2772596087464402E-020
   1000.0599999999999        2.4408119603996222E-020
   1000.0700000000001        2.6159494992440650E-020
   1000.0800000000000        2.8034811616432529E-020
   1000.0900000000000        3.0042715297164342E-020
   1000.1000000000000        3.2192445998632761E-020
   1000.1100000000000        3.4493878023843318E-020
   1000.1200000000000        3.6957562886305444E-020
   1000.1300000000000        3.9594775031868516E-020
   1000.1400000000000        4.2417560597173513E-020
   1000.1500000000000        4.5438789402952505E-020
   1000.1600000000000        4.8672210393112355E-020
   1000.1700000000000        5.2132510744050958E-020
   1000.1799999999999        5.5835378883007751E-020
   1000.1900000000001        5.9797571669552266E-020
   1000.2000000000000        6.4036986010204001E-020
   1000.2100000000000        6.8572735194365288E-020
   1000.2200000000000        7.3425230256474178E-020
   1000.2300000000000        7.8616266690280014E-020
   1000.2400000000000        8.4169116860904649E-020
   1000.2500000000000        9.0108628482573194E-020
   1000.2600000000000        9.6461329553194940E-020
   1000.2700000000000        1.0325554016171449E-019
   1000.2800000000000        1.1052149161046700E-019
   1000.2900000000000        1.1829145332269518E-019
   1000.3000000000000        1.2659986803502964E-019
   1000.3099999999999        1.3548349580625703E-019
   1000.3200000000001        1.4498156740721477E-019
   1000.3300000000000        1.5513594769139132E-019
   1000.3400000000000        1.6599130958581693E-019
   1000.3500000000000        1.7759531937799000E-019
   1000.3600000000000        1.8999883402087687E-019
   1000.3700000000000        2.0325611122079326E-019
   1000.3800000000000        2.1742503312160621E-019
   1000.3900000000000        2.3256734444931255E-019
   1000.4000000000000        2.4874890603495498E-019
   1000.4100000000000        2.6603996469097520E-019
   1000.4200000000000        2.8451544047677508E-019
   1000.4299999999999        3.0425523245356990E-019
   1000.4400000000001        3.2534454409717674E-019
   1000.4500000000000        3.4787422960802437E-019
   1000.4600000000000        3.7194116243960460E-019
   1000.4700000000000        3.9764862743967783E-019
   1000.4800000000000        4.2510673809316570E-019
   1000.4900000000000        4.5443288044246954E-019
   1000.5000000000000        4.8575218535966300E-019
   1000.5100000000000        5.1919803094784744E-019
   1000.5200000000000        5.5491257695816203E-019
   1000.5300000000000        5.9304733322474085E-019
   1000.5400000000000        6.3376376424276860E-019
   1000.5500000000000        6.7723393214477628E-019
   1000.5599999999999        7.2364118046839074E-019
   1000.5700000000001        7.7318086125553321E-019
   1000.5800000000000        8.2606110817377744E-019
   1000.5900000000000        8.8250365852719137E-019
   1000.6000000000000        9.4274472717767442E-019
   1000.6100000000000        1.0070359356022040E-018
   1000.6200000000000        1.0756452994949036E-018
   1000.6300000000000        1.1488582785336067E-018
   1000.6400000000000        1.2269788921494218E-018
   1000.6500000000000        1.3103309053699088E-018
   1000.6600000000000        1.3992590890525633E-018
   1000.6700000000000        1.4941305590856798E-018
   1000.6799999999999        1.5953361994098085E-018
   1000.6900000000001        1.7032921740061961E-018
   1000.7000000000000        1.8184415332994255E-018
   1000.7100000000000        1.9412559207751740E-018
   1000.7200000000000        2.0722373859173928E-018
   1000.7300000000000        2.2119203099798428E-018
   1000.7400000000000        2.3608734514692121E-018
   1000.7500000000000        2.5197021186380333E-018
   1000.7600000000000        2.6890504767188979E-018
   1000.7700000000000        2.8696039980932297E-018
   1000.7800000000000        3.0620920640748936E-018
   1000.7900000000000        3.2672907275061477E-018
   1000.8000000000000        3.4860256459082204E-018
   1000.8099999999999        3.7191751955084003E-018
   1000.8200000000001        3.9676737770783449E-018
   1000.8300000000000        4.2325153251460712E-018
   1000.8400000000000        4.5147570328878332E-018
   1000.8500000000000        4.8155233056308086E-018
   1000.8600000000000        5.1360099567616925E-018
   1000.8700000000000        5.4774886605868250E-018
   1000.8800000000000        5.8413116775657747E-018
   1000.8900000000000        6.2289168682424512E-018
   1000.9000000000000        6.6418330131556689E-018
   1000.9100000000000        7.0816854570226730E-018
   1000.9200000000000        7.5502020965600822E-018
   1000.9299999999999        8.0492197324377663E-018
   1000.9400000000001        8.5806908070630629E-018
   1000.9500000000000        9.1466905511136030E-018
   1000.9600000000000        9.7494245632026632E-018
   1000.9700000000000        1.0391236848258803E-017
