State  Frequency(eV)  OscillatorStrength  TransitionMoment_x  y  z  Trans.Dipole.Mom.(D) e-size(A)  RMS_e-h(A)  QTa  LOCa
1 1015.5947 0.0001436989 0.0019 0.0014 -0.0000 0.006108 0.807646 0.824584 0.000009 0.0067
2 1016.1125 0.0039231162 -0.0069 -0.0043 -0.0095 0.031908 0.661559 0.674055 0.000121 0.0202
3 1019.4799 0.0056291734 -0.0087 0.0120 0.0024 0.038158 1.476735 1.574891 0.000229 0.0182
4 1020.3374 0.0001363831 -0.0004 -0.0020 -0.0012 0.005937 0.950028 3.280733 0.000038 0.0055
5 1020.3908 0.0006580160 0.0026 -0.0043 -0.0009 0.013040 1.651666 3.633658 0.000083 0.0063
6 1021.9017 0.0000641977 -0.0008 0.0013 0.0005 0.004070 1.193908 3.280533 0.000046 0.0046
7 1022.0074 0.0000037539 -0.0003 0.0002 0.0002 0.000984 0.877822 0.911511 0.000008 0.0048
8 1022.8735 0.0000832465 -0.0015 0.0004 -0.0009 0.004633 1.463800 3.390305 0.000018 0.0104
9 1024.2698 0.0000344959 0.0001 0.0008 0.0009 0.002980 1.658145 3.554409 0.000033 0.0061
10 1025.9436 0.0000000000 -0.0000 0.0000 0.0000 0.000000 0.722334 24.575441 0.000000 0.0000
11 1026.0229 0.0002962385 -0.0019 -0.0013 -0.0026 0.008726 1.149870 1.183192 0.000438 0.0622
12 1026.3426 0.0000112295 -0.0004 0.0005 0.0002 0.001699 1.759151 3.351763 0.000113 0.0136
13 1026.7941 0.0000309123 0.0009 -0.0006 0.0002 0.002818 2.058936 3.520682 0.000071 0.0067
14 1029.8654 0.0000187952 0.0002 -0.0006 -0.0006 0.002194 1.684501 3.631857 0.000028 0.0027
15 1031.0225 0.0000000000 -0.0000 0.0000 0.0000 0.000000 0.762192 23.439415 0.000000 0.0000
16 1031.5910 0.0024879424 -0.0069 0.0071 0.0003 0.025219 0.866735 0.891418 0.000036 0.0095
17 1032.2421 0.0000054369 0.0002 -0.0004 -0.0000 0.001179 0.905917 3.324674 0.000011 0.0053
18 1032.3558 0.0000000000 -0.0000 0.0000 -0.0000 0.000000 0.621371 24.498986 0.000000 0.0000
19 1033.4347 0.0000014310 -0.0002 0.0000 -0.0000 0.000604 1.433396 3.621189 0.000022 0.0012
20 1033.6366 0.0000000000 -0.0000 -0.0000 -0.0000 0.000000 0.744809 24.572790 0.000000 0.0000
21 1033.6409 0.0000041848 0.0003 -0.0002 0.0001 0.001033 1.319772 3.734388 0.000013 0.0014
22 1033.7585 0.0000088533 -0.0004 0.0002 -0.0003 0.001503 1.292642 3.521570 0.000045 0.0030
23 1036.3245 0.0000012090 0.0002 0.0001 0.0001 0.000555 1.008575 3.275410 0.000013 0.0030
24 1037.0197 0.0000000000 -0.0000 -0.0000 -0.0000 0.000000 0.738363 23.332129 0.000000 0.0000
25 1037.3888 0.0000007901 -0.0000 -0.0001 0.0001 0.000448 1.398700 3.739751 0.000011 0.0027
26 1037.9546 0.0000301283 -0.0010 0.0000 -0.0003 0.002767 0.689751 0.716976 0.000149 0.0211
27 1038.8370 0.0000000000 -0.0000 0.0000 -0.0000 0.000000 0.587867 23.384761 0.000000 0.0000
28 1039.8489 0.0006782794 -0.0031 -0.0030 0.0028 0.013115 0.798746 0.819067 0.000009 0.0079
29 1040.0338 0.0000534970 -0.0009 -0.0009 0.0007 0.003683 0.653911 0.680130 0.000003 0.0067
30 1040.9497 0.0000000000 0.0000 -0.0000 0.0000 0.000000 0.694240 24.392799 0.000000 0.0000
31 1041.5821 0.0000230936 0.0005 0.0005 -0.0007 0.002418 1.021761 3.325695 0.000009 0.0024
32 1043.7973 0.0001505111 -0.0012 -0.0011 0.0018 0.006166 1.208429 3.218187 0.000010 0.0022
33 1044.1457 0.0000561716 -0.0012 -0.0004 0.0008 0.003766 0.900625 3.323476 0.000011 0.0018
34 1044.8512 0.0000371986 0.0000 0.0006 -0.0011 0.003064 1.689818 3.530953 0.000010 0.0027
35 1045.6233 0.0000000000 0.0000 0.0000 -0.0000 0.000000 0.573333 24.414933 0.000000 0.0000
36 1046.0760 0.0024647590 0.0052 0.0053 -0.0064 0.024926 1.405043 1.487002 0.000004 0.0060
37 1046.2369 0.0002289224 0.0018 0.0016 -0.0017 0.007596 1.833671 3.575605 0.000009 0.0022
38 1047.1583 0.0000020393 -0.0003 -0.0000 0.0000 0.000717 0.936159 3.823253 0.000014 0.0010
39 1047.2148 0.0000205317 -0.0009 0.0000 0.0002 0.002274 1.088745 3.771458 0.000010 0.0015
40 1048.0606 0.0000570352 0.0011 -0.0009 0.0002 0.003788 1.594418 3.690409 0.000051 0.0060
41 1048.5352 0.0000000000 -0.0000 0.0000 0.0000 0.000000 0.626066 24.586185 0.000000 0.0000
42 1048.8114 0.0012679844 -0.0045 0.0053 0.0011 0.017855 1.742619 2.121683 0.000279 0.0259
43 1049.2332 0.0005367738 -0.0030 0.0034 0.0003 0.011615 1.999907 3.120268 0.000192 0.0164
44 1049.4525 0.0000000000 -0.0000 -0.0000 -0.0000 0.000000 0.675926 24.601540 0.000000 0.0000
45 1049.5140 0.0001247183 0.0015 -0.0016 0.0002 0.005598 1.708318 3.445157 0.000069 0.0054
46 1050.4238 0.0000000000 0.0000 -0.0000 -0.0000 0.000000 0.637645 23.399036 0.000000 0.0000
47 1050.4591 0.0000000000 -0.0000 0.0000 0.0000 0.000000 0.603652 23.428791 0.000000 0.0000
48 1050.8574 0.0000236800 -0.0007 0.0005 -0.0004 0.002438 1.785558 3.491580 0.000033 0.0028
49 1051.6630 0.0000074418 0.0004 -0.0004 -0.0000 0.001366 1.287096 3.342733 0.000023 0.0019
50 1052.5154 0.0000156694 0.0008 -0.0001 0.0001 0.001981 1.715562 3.370019 0.000041 0.0034
51 1053.7321 0.0000000000 -0.0000 -0.0000 0.0000 0.000000 0.691234 23.329452 0.000000 0.0000
52 1054.4208 0.0000000000 -0.0000 0.0000 -0.0000 0.000000 0.669682 24.444460 0.000000 0.0000
53 1055.8448 0.0000034651 -0.0003 0.0001 -0.0001 0.000930 1.582803 3.627014 0.000023 0.0013
54 1056.5594 0.0000020787 0.0000 -0.0001 0.0003 0.000720 0.810284 3.776920 0.000009 0.0018
55 1056.9773 0.0000000000 -0.0000 0.0000 -0.0000 0.000000 0.587885 24.578427 0.000000 0.0000
56 1057.0386 0.0000331902 -0.0009 0.0004 -0.0005 0.002877 1.135575 3.640342 0.000051 0.0031
57 1058.7626 0.0000000000 -0.0000 -0.0000 -0.0000 0.000000 0.716899 23.544081 0.000000 0.0000
58 1060.0973 0.0000133313 -0.0006 0.0001 -0.0004 0.001821 1.463251 3.579741 0.000020 0.0019
59 1060.4235 0.0000000000 0.0000 0.0000 0.0000 0.000000 0.739193 23.230003 0.000000 0.0000
60 1064.4768 0.0000000000 0.0000 -0.0000 0.0000 0.000000 0.584425 23.373326 0.000000 0.0000
61 1072.7333 0.0051181311 0.0067 0.0061 0.0106 0.035470 0.644524 0.667463 0.000554 0.1364
62 1076.6501 0.0132767459 0.0152 -0.0164 -0.0016 0.057025 0.654055 0.675011 0.000104 0.0140
63 1079.0566 0.0000065444 -0.0002 -0.0000 0.0004 0.001265 0.731913 3.304454 0.000040 0.0104
64 1080.5478 0.0000091823 -0.0004 0.0003 0.0002 0.001497 0.761057 3.315650 0.000007 0.0012
65 1080.9623 0.0000000000 -0.0000 -0.0000 -0.0000 0.000000 0.618479 24.483533 0.000000 0.0000
66 1083.4583 0.0000054691 -0.0004 0.0001 -0.0001 0.001154 0.942178 3.783083 0.000011 0.0013
67 1084.6020 0.0000000000 0.0000 -0.0000 -0.0000 0.000000 0.624653 23.386863 0.000000 0.0000
