State  Frequency(eV)  OscillatorStrength  TransitionMoment_x  y  z  Trans.Dipole.Mom.(D) e-size(A)  RMS_e-h(A)  QTa  LOCa
1 518.3926 0.0020315277 -0.0092 0.0082 0.0030 0.032147 2.906412 3.903890 0.004326 0.0721
2 519.2294 0.0014251152 0.0084 0.0062 0.0017 0.026903 3.630348 4.165742 0.002872 0.0484
3 520.1325 0.0025824494 0.0040 0.0053 -0.0126 0.036184 3.665658 4.032394 0.002444 0.0289
4 520.2889 0.0008658272 -0.0057 0.0044 -0.0039 0.020948 3.610199 3.667618 0.001755 0.0753
5 520.7577 0.0020670691 -0.0061 0.0058 0.0095 0.032353 3.953106 4.384402 0.003045 0.0651
6 520.9339 0.0014473444 0.0024 -0.0009 -0.0103 0.027067 3.899928 4.194150 0.002303 0.0557
7 521.0696 0.0001086194 -0.0014 0.0009 -0.0024 0.007414 3.973338 5.099265 0.001424 0.0240
8 521.4244 0.0043212973 0.0150 -0.0087 -0.0063 0.046748 3.753781 3.770482 0.004117 0.0969
9 521.7452 0.0011426745 -0.0090 0.0016 0.0024 0.024032 3.713092 4.012148 0.002527 0.0817
10 521.9665 0.0027434206 -0.0111 -0.0070 0.0065 0.037229 3.903693 4.030600 0.002062 0.0451
11 522.4897 0.0006683027 -0.0025 0.0011 0.0067 0.018365 3.590192 4.157533 0.000966 0.0579
12 522.5489 0.0039389047 -0.0040 0.0045 0.0165 0.044584 3.656464 3.734455 0.001960 0.0556
13 523.1216 0.0077693325 -0.0212 -0.0076 -0.0100 0.062581 3.585963 3.721419 0.003377 0.0862
14 523.1872 0.0104839317 -0.0007 -0.0285 0.0021 0.072692 3.339844 3.813870 0.003086 0.0757
15 523.6778 0.0037083413 0.0037 0.0164 -0.0027 0.043213 3.553907 3.985329 0.002209 0.1251
16 524.0059 0.0085782697 0.0215 0.0130 0.0061 0.065703 3.397072 3.494855 0.003866 0.0967
17 524.3225 0.0049322226 0.0054 -0.0186 -0.0029 0.049805 3.109684 3.226155 0.003542 0.1209
18 524.6288 0.0010353120 -0.0045 0.0057 0.0053 0.022812 3.409151 3.588459 0.002999 0.1076
19 524.8372 0.0032733551 0.0015 -0.0106 -0.0118 0.040554 3.378687 3.458813 0.002959 0.0784
20 525.3718 0.0062090580 0.0074 0.0206 -0.0022 0.055826 3.457899 3.865047 0.002612 0.0661
21 525.4124 0.0009722200 -0.0034 0.0052 -0.0061 0.022089 3.522536 3.562229 0.001379 0.0716
22 525.4475 0.0011924556 -0.0068 0.0064 0.0024 0.024463 3.401033 3.595665 0.003161 0.1479
23 525.5512 0.0020632420 0.0072 -0.0054 -0.0089 0.032175 3.532514 4.042284 0.002307 0.0772
24 525.7083 0.0005334373 -0.0014 -0.0030 -0.0055 0.016358 3.603233 3.774697 0.001059 0.0999
25 525.9392 0.0019968429 -0.0103 0.0051 -0.0049 0.031642 3.644495 4.324791 0.002330 0.0565
26 526.0764 0.0011653729 0.0029 -0.0088 -0.0021 0.024169 3.923683 4.009499 0.001378 0.0947
27 526.3283 0.0030538264 -0.0085 -0.0039 -0.0122 0.039115 4.031550 4.051712 0.002562 0.0907
28 526.4032 0.0017453928 -0.0084 -0.0001 0.0080 0.029569 3.828795 4.024225 0.002287 0.0643
29 526.6111 0.0017063733 -0.0075 0.0004 -0.0087 0.029231 3.518885 4.010883 0.001423 0.0360
30 526.7301 0.0005462008 -0.0022 0.0061 -0.0002 0.016536 4.220838 4.306258 0.001473 0.0420
31 526.9584 0.0006298238 -0.0063 0.0014 0.0028 0.017753 4.034665 4.093460 0.002403 0.0456
32 527.0878 0.0007674539 0.0014 -0.0064 0.0041 0.019595 4.092978 4.104573 0.001303 0.0735
33 527.1039 0.0016156112 0.0110 -0.0012 0.0015 0.028430 4.017100 4.056252 0.001437 0.0721
34 527.3281 0.0012252865 0.0019 -0.0071 0.0063 0.024753 4.118642 4.320398 0.001212 0.0574
35 527.3821 0.0003249144 0.0016 -0.0044 -0.0019 0.012746 4.125640 4.275454 0.001675 0.0525
36 527.4374 0.0015711314 -0.0002 0.0104 0.0036 0.028027 4.194007 4.274964 0.001902 0.0665
37 527.6970 0.0014588534 0.0058 0.0089 -0.0002 0.027000 4.192215 4.304955 0.001787 0.0608
38 527.8454 0.0009725967 -0.0040 -0.0026 0.0072 0.022043 3.988237 4.040383 0.001906 0.0437
39 527.9772 0.0006560403 -0.0060 0.0037 0.0010 0.018101 4.032177 4.117580 0.001793 0.0588
40 528.0580 0.0003707987 -0.0014 0.0017 0.0049 0.013608 3.800990 3.967328 0.001988 0.0627
41 528.0965 0.0016203107 -0.0004 0.0040 -0.0105 0.028444 3.735354 3.958219 0.001391 0.0933
42 528.2332 0.0005524731 -0.0061 -0.0007 -0.0023 0.016607 4.017434 4.241184 0.001968 0.0488
43 528.4113 0.0002417645 0.0021 -0.0030 0.0023 0.010984 3.925961 3.979255 0.001621 0.0750
44 528.7763 0.0015932216 0.0087 -0.0040 -0.0056 0.028187 3.945938 3.990778 0.002208 0.0699
45 528.9644 0.0007091983 0.0054 -0.0009 0.0050 0.018803 3.962470 4.026941 0.001502 0.0625
46 528.9881 0.0016894877 -0.0070 0.0081 0.0040 0.029021 3.730418 3.850974 0.002408 0.0768
47 529.2246 0.0004094396 0.0035 0.0010 -0.0043 0.014283 4.046966 4.053897 0.002149 0.0364
48 529.4129 0.0009938405 -0.0042 0.0015 0.0075 0.022249 3.825829 4.029161 0.001427 0.0732
49 529.7606 0.0019330252 -0.0034 0.0081 0.0085 0.031019 3.952608 4.026038 0.001176 0.0895
50 529.8177 0.0002057975 0.0033 -0.0018 -0.0013 0.010121 4.060196 4.106106 0.001414 0.0552
51 530.0574 0.0007594137 -0.0001 -0.0026 0.0072 0.019437 3.886459 3.910547 0.001086 0.0639
52 530.2982 0.0013924044 -0.0049 -0.0046 0.0078 0.026313 3.968571 4.017078 0.002096 0.0449
