Gaussian broadening with full width at half max of   3.000   eV
        Energy(eV)              Intensity (arb. units)
   1000.0000000000000        1.5326488533461163E-037
   1000.0100000000000        1.6879639921018714E-037
   1000.0200000000000        1.8589062666709026E-037
   1000.0300000000000        2.0470365943584357E-037
   1000.0400000000000        2.2540706504768646E-037
   1000.0500000000000        2.4818940960378140E-037
   1000.0599999999999        2.7325792922516230E-037
   1000.0700000000001        3.0084036458649347E-037
   1000.0800000000000        3.3118697431829149E-037
   1000.0900000000000        3.6457274458498328E-037
   1000.1000000000000        4.0129981379527023E-037
   1000.1100000000000        4.4170013323036518E-037
   1000.1200000000000        4.8613838636037160E-037
   1000.1300000000000        5.3501519180148480E-037
   1000.1400000000000        5.8877061725373682E-037
   1000.1500000000000        6.4788803437279415E-037
   1000.1600000000000        7.1289834739113403E-037
   1000.1700000000000        7.8438463143658187E-037
   1000.1799999999999        8.6298721992563711E-037
   1000.1900000000001        9.4940928416393699E-037
   1000.2000000000000        1.0444229523877257E-036
   1000.2100000000000        1.1488760199979889E-036
   1000.2200000000000        1.2636993076258647E-036
   1000.2300000000000        1.3899147290872739E-036
   1000.2400000000000        1.5286441371577663E-036
   1000.2500000000000        1.6811190215534928E-036
   1000.2600000000000        1.8486911405580665E-036
   1000.2700000000000        2.0328441754537485E-036
   1000.2800000000000        2.2352065053594020E-036
   1000.2900000000000        2.4575652093143233E-036
   1000.3000000000000        2.7018814125505463E-036
   1000.3099999999999        2.9703071049477311E-036
   1000.3200000000001        3.2652035717541131E-036
   1000.3300000000000        3.5891615898510446E-036
   1000.3400000000000        3.9450235573654149E-036
   1000.3500000000000        4.3359077401217915E-036
   1000.3600000000000        4.7652348358261936E-036
   1000.3700000000000        5.2367570756991054E-036
   1000.3800000000000        5.7545901039579681E-036
   1000.3900000000000        6.3232478981304986E-036
   1000.4000000000000        6.9476810178660154E-036
   1000.4100000000000        7.6333184969005228E-036
   1000.4200000000000        8.3861137223235181E-036
   1000.4299999999999        9.2125946775331833E-036
   1000.4400000000001        1.0119918960505309E-035
   1000.4500000000000        1.1115934027426159E-035
   1000.4600000000000        1.2209243154029900E-035
   1000.4700000000000        1.3409277652582806E-035
   1000.4800000000000        1.4726375933036568E-035
   1000.4900000000000        1.6171870051532549E-035
   1000.5000000000000        1.7758180449444513E-035
   1000.5100000000000        1.9498919651616939E-035
   1000.5200000000000        2.1409005763982087E-035
   1000.5300000000000        2.3504786688845135E-035
   1000.5400000000000        2.5804176061462026E-035
   1000.5500000000000        2.8326802004693403E-035
   1000.5599999999999        3.1094169900280124E-035
