State  Frequency(eV)  OscillatorStrength  TransitionMoment_x  y  z  Trans.Dipole.Mom.(D) e-size(A)  RMS_e-h(A)  QTa  LOCa
1 518.1080 0.0017661791 -0.0106 0.0025 0.0046 0.029982 2.588716 3.872591 0.003322 0.0637
2 519.4354 0.0009941916 0.0002 0.0088 0.0002 0.022466 3.533133 4.204729 0.002933 0.0597
3 519.9587 0.0015519353 0.0041 0.0071 0.0074 0.028055 3.849750 4.121009 0.001468 0.0702
4 520.0626 0.0007344675 -0.0045 -0.0040 0.0046 0.019298 3.742077 3.997058 0.001174 0.0579
5 520.2939 0.0000000000 0.0000 0.0000 0.0000 0.000000 2.108330 22.685404 0.000000 0.0000
6 520.7975 0.0030838499 0.0067 -0.0088 0.0109 0.039515 3.806162 3.960216 0.002061 0.0766
7 520.9754 0.0004054441 0.0012 -0.0034 0.0043 0.014326 3.631708 4.565458 0.001169 0.0389
8 521.1973 0.0047035342 -0.0136 0.0131 0.0035 0.048783 3.279048 3.383296 0.002677 0.0735
9 521.6490 0.0002120652 -0.0011 -0.0023 0.0032 0.010354 3.391178 4.601450 0.001276 0.0215
10 521.9805 0.0000000000 0.0000 0.0000 -0.0000 0.000000 2.437057 22.900139 0.000000 0.0000
11 522.4110 0.0075500673 0.0093 0.0162 0.0155 0.061734 3.269096 3.372770 0.002440 0.0588
12 522.7179 0.0091803652 -0.0148 -0.0133 0.0179 0.068053 3.138116 3.284600 0.004089 0.1050
13 523.0268 0.0035943979 -0.0126 0.0109 -0.0020 0.042570 3.444639 3.530362 0.002156 0.0949
14 523.6857 0.0038960678 -0.0173 0.0012 0.0013 0.044293 3.623787 3.759497 0.002887 0.0859
15 523.9800 0.0030038209 -0.0135 -0.0071 -0.0011 0.038881 3.319107 3.634901 0.001951 0.0782
16 524.1474 0.0021968201 -0.0093 0.0092 -0.0007 0.033245 3.062027 3.172415 0.003059 0.1403
17 524.3552 0.0062224317 -0.0076 0.0184 0.0095 0.055940 3.120956 3.696470 0.001929 0.1011
18 524.7579 0.0010538347 0.0054 -0.0039 0.0062 0.023012 3.158173 3.456015 0.002181 0.1536
19 525.0070 0.0022814614 -0.0023 0.0127 -0.0033 0.033851 3.115358 3.338234 0.002299 0.1309
20 525.3822 0.0017187414 0.0114 0.0002 -0.0017 0.029371 2.966216 3.726090 0.002517 0.0711
21 525.6567 0.0003110921 -0.0048 -0.0003 -0.0012 0.012492 3.414726 4.253365 0.001098 0.0817
22 525.8485 0.0060366108 -0.0024 0.0215 -0.0008 0.055020 3.469244 3.824928 0.002046 0.1354
23 525.9225 0.0000000000 -0.0000 0.0000 -0.0000 0.000000 2.094406 22.521269 0.000000 0.0000
24 525.9539 0.0022996165 -0.0131 0.0025 0.0003 0.033955 3.344156 3.784671 0.001541 0.0670
25 526.0447 0.0025836245 -0.0028 0.0121 0.0068 0.035988 3.346236 3.464015 0.001458 0.0965
26 526.3485 0.0081080683 -0.0034 0.0070 -0.0238 0.063735 3.199452 3.402128 0.001316 0.0459
27 526.4870 0.0050275884 0.0030 -0.0190 -0.0045 0.050181 3.652874 3.844673 0.001357 0.0644
28 526.6519 0.0006542122 -0.0029 0.0047 0.0045 0.018099 3.324146 4.349562 0.000672 0.0803
29 526.6810 0.0000000000 0.0000 0.0000 0.0000 0.000000 1.873836 22.093763 0.000000 0.0000
30 526.7875 0.0016841807 0.0052 -0.0095 0.0037 0.029036 3.522332 3.816844 0.001638 0.0637
31 526.9325 0.0002869919 0.0021 0.0031 0.0029 0.011984 3.928198 4.150840 0.000939 0.0483
32 527.1496 0.0000000000 -0.0000 0.0000 0.0000 0.000000 1.866578 22.504518 0.000000 0.0000
33 527.1734 0.0046426863 -0.0172 -0.0070 0.0037 0.048190 3.351703 3.414877 0.003913 0.1365
34 527.2185 0.0000000000 0.0000 0.0000 0.0000 0.000000 1.966166 22.837195 0.000000 0.0000
35 527.4508 0.0016381526 0.0060 0.0091 0.0027 0.028618 3.532746 3.871050 0.001249 0.0870
36 527.4740 0.0005505876 0.0039 0.0039 -0.0035 0.016591 3.633886 3.880965 0.001297 0.1154
37 527.6471 0.0024266122 -0.0121 0.0034 -0.0054 0.034824 3.447067 3.692677 0.001891 0.0668
38 527.9568 0.0012201174 -0.0000 -0.0077 -0.0060 0.024686 3.393725 4.146999 0.000947 0.0761
39 528.0606 0.0022836801 0.0098 0.0014 0.0088 0.033770 4.038682 4.205799 0.001538 0.0545
40 528.3641 0.0061588187 0.0131 0.0174 -0.0016 0.055442 3.540478 3.715190 0.002632 0.1228
41 528.4824 0.0008917085 0.0004 -0.0081 -0.0019 0.021094 3.657329 4.011707 0.001407 0.0718
42 528.7426 0.0005091094 0.0040 -0.0048 0.0003 0.015934 3.586737 4.044980 0.000999 0.0876
43 528.9497 0.0015689452 0.0079 -0.0074 -0.0021 0.027967 3.562042 4.158107 0.001667 0.0990
44 529.0952 0.0023820766 -0.0070 -0.0113 0.0028 0.034456 3.559243 3.839128 0.001269 0.0966
45 529.4232 0.0010245015 0.0069 0.0007 0.0055 0.022590 3.385901 3.823963 0.001377 0.0777
46 529.7248 0.0000000000 -0.0000 -0.0000 0.0000 0.000000 2.315313 22.722517 0.000000 0.0000
47 529.7996 0.0029664889 -0.0034 0.0092 0.0115 0.038425 3.545270 3.638019 0.001060 0.0953
