State  Frequency(eV)  OscillatorStrength  TransitionMoment_x  y  z  Trans.Dipole.Mom.(D) e-size(A)  RMS_e-h(A)  QTa  LOCa
1 1016.5221 0.0078399253 0.0086 -0.0019 0.0154 0.045097 1.212150 1.228474 0.000204 0.0428
2 1018.5230 0.0006517742 -0.0012 -0.0048 0.0014 0.012990 1.383098 1.408626 0.000476 0.0471
3 1019.9964 0.0017014271 0.0045 0.0065 -0.0022 0.020973 1.897347 1.990900 0.000121 0.0161
4 1020.9200 0.0001897447 0.0018 -0.0009 0.0019 0.007001 2.020519 3.160175 0.000099 0.0099
5 1021.2639 0.0000389067 0.0008 -0.0004 0.0009 0.003170 1.418434 3.352663 0.000028 0.0040
6 1021.4465 0.0000452046 0.0004 0.0010 -0.0007 0.003416 0.703025 3.377581 0.000017 0.0054
7 1022.1043 0.0000062681 0.0002 -0.0000 0.0005 0.001272 1.814153 2.957382 0.000023 0.0042
8 1022.1482 0.0001489870 0.0007 0.0015 -0.0018 0.006200 1.787135 3.816655 0.000038 0.0046
9 1022.6626 0.0000048664 -0.0002 0.0004 -0.0002 0.001120 1.773750 3.498424 0.000038 0.0128
10 1022.8664 0.0000037166 0.0002 0.0002 0.0003 0.000979 1.747789 3.161293 0.000088 0.0076
11 1023.8092 0.0003777074 -0.0029 -0.0025 -0.0001 0.009863 1.763912 2.841796 0.000071 0.0121
12 1024.6440 0.0000407760 -0.0007 -0.0009 0.0007 0.003239 1.701226 3.293023 0.000036 0.0043
13 1025.2737 0.0000272605 0.0003 0.0007 -0.0007 0.002648 1.071182 3.179045 0.000037 0.0054
14 1025.5546 0.0000405011 0.0004 0.0007 0.0010 0.003227 2.004970 3.253977 0.000028 0.0042
15 1027.3761 0.0000157232 -0.0001 -0.0007 0.0004 0.002009 1.756672 3.244567 0.000032 0.0045
16 1027.5608 0.0004519755 -0.0005 0.0026 -0.0033 0.010770 1.642663 3.860475 0.000071 0.0191
17 1028.1061 0.0059736207 -0.0010 -0.0099 0.0118 0.039143 1.995434 2.557202 0.000200 0.0293
18 1029.2099 0.0000936784 0.0003 0.0013 -0.0014 0.004899 0.907127 3.316311 0.000027 0.0056
