Gaussian broadening with full width at half max of   3.000   eV
        Energy(eV)              Intensity (arb. units)
   1000.0000000000000        1.3867721138272421E-032
   1000.0100000000000        1.5146915037161701E-032
   1000.0200000000000        1.6543093139900459E-032
   1000.0300000000000        1.8066859930098828E-032
   1000.0400000000000        1.9729772534993892E-032
   1000.0500000000000        2.1544425516911140E-032
   1000.0599999999999        2.3524543140409070E-032
   1000.0700000000001        2.5685079767843553E-032
   1000.0800000000000        2.8042329092320823E-032
   1000.0900000000000        3.0614042978788877E-032
   1000.1000000000000        3.3419560749634189E-032
   1000.1100000000000        3.6479949824163038E-032
   1000.1200000000000        3.9818158699161470E-032
   1000.1300000000000        4.3459183342896712E-032
   1000.1400000000000        4.7430248167136995E-032
   1000.1500000000000        5.1761002841852782E-032
   1000.1600000000000        5.6483736325882193E-032
   1000.1700000000000        6.1633609604671102E-032
   1000.1799999999999        6.7248908754030520E-032
   1000.1900000000001        7.3371320087646561E-032
   1000.2000000000000        8.0046229295978668E-032
   1000.2100000000000        8.7323046648902558E-032
   1000.2200000000000        9.5255560508967707E-032
   1000.2300000000000        1.0390232159655268E-031
   1000.2400000000000        1.1332706065493756E-031
   1000.2500000000000        1.2359914238955474E-031
   1000.2600000000000        1.3479405880040984E-031
   1000.2700000000000        1.4699396529209364E-031
   1000.2800000000000        1.6028826323360986E-031
   1000.2900000000000        1.7477423295221860E-031
   1000.3000000000000        1.9055772148372936E-031
   1000.3099999999999        2.0775388976829812E-031
   1000.3200000000001        2.2648802437843698E-031
   1000.3300000000000        2.4689641929508466E-031
   1000.3400000000000        2.6912733371897189E-031
   1000.3500000000000        2.9334203240289137E-031
   1000.3600000000000        3.1971591554612430E-031
   1000.3700000000000        3.4843974588175119E-031
   1000.3800000000000        3.7972098123280875E-031
   1000.3900000000000        4.1378522151019196E-031
   1000.4000000000000        4.5087777988062916E-031
   1000.4100000000000        4.9126538865143316E-031
   1000.4200000000000        5.3523805130510348E-031
   1000.4299999999999        5.8311105307690996E-031
   1000.4400000000001        6.3522714350916822E-031
   1000.4500000000000        6.9195890553773621E-031
