State  Frequency(eV)  OscillatorStrength  TransitionMoment_x  y  z  Trans.Dipole.Mom.(D) e-size(A)  RMS_e-h(A)  QTa  LOCa
1 1011.3114 0.0067406252 0.0062 0.0108 0.0108 0.041924 0.734420 0.746459 0.000055 0.0184
2 1011.8867 0.0000100371 -0.0003 0.0005 -0.0002 0.001617 0.819940 0.836832 0.000100 0.0177
3 1012.4628 0.0156390742 0.0169 -0.0030 0.0183 0.063822 0.902637 0.925458 0.000133 0.0265
4 1014.7547 0.0020275006 -0.0045 0.0075 -0.0022 0.022954 0.893240 0.917897 0.000406 0.0520
5 1016.4934 0.0009096317 -0.0039 0.0017 -0.0043 0.015362 1.286520 2.932935 0.000131 0.0109
6 1018.2616 0.0000678944 0.0010 -0.0011 -0.0007 0.004193 1.576467 3.387879 0.000035 0.0065
7 1018.9911 0.0000052171 0.0002 0.0003 0.0003 0.001162 0.617284 3.382284 0.000013 0.0019
8 1019.3516 0.0000096812 0.0003 0.0006 0.0000 0.001583 0.658196 3.417316 0.000008 0.0027
9 1020.6961 0.0005797041 0.0021 -0.0043 0.0002 0.012238 1.406036 3.024092 0.000078 0.0226
10 1021.4798 0.0000014135 -0.0000 0.0001 0.0002 0.000604 0.798872 3.299974 0.000016 0.0021
11 1022.4279 0.0000158865 0.0001 -0.0008 -0.0002 0.002024 1.365999 3.708992 0.000057 0.0045
12 1022.9407 0.0000220929 -0.0004 0.0008 0.0001 0.002386 1.359581 3.161781 0.000109 0.0126
13 1023.3217 0.0000910781 -0.0003 0.0018 0.0005 0.004845 1.418929 3.710811 0.000065 0.0146
14 1024.7102 0.0001967308 0.0021 -0.0005 0.0017 0.007115 1.605977 3.348694 0.000021 0.0069
15 1028.2243 0.0000930303 -0.0011 -0.0008 -0.0013 0.004885 1.017032 3.853157 0.000037 0.0048
16 1029.3943 0.0000035059 0.0001 -0.0003 0.0002 0.000948 0.648502 3.848012 0.000005 0.0017
17 1029.6285 0.0000008250 0.0000 -0.0001 -0.0001 0.000460 0.597881 3.383895 0.000008 0.0017
18 1030.2716 0.0002364911 -0.0019 -0.0009 -0.0023 0.007780 1.423911 3.731561 0.000091 0.0172
19 1032.0537 0.0106023546 -0.0114 -0.0064 -0.0158 0.052048 1.978469 2.260101 0.000382 0.0455
20 1032.4869 0.0014936757 0.0041 0.0026 0.0060 0.019532 1.721448 3.206343 0.000152 0.0215
21 1033.9704 0.0072588173 0.0111 0.0018 0.0126 0.043026 1.488867 2.469292 0.000260 0.0257
