State  Frequency(eV)  OscillatorStrength  TransitionMoment_x  y  z  Trans.Dipole.Mom.(D) e-size(A)  RMS_e-h(A)  QTa  LOCa
1 1016.3329 0.0056733201 -0.0134 -0.0061 0.0035 0.038367 1.852196 2.038086 0.000030 0.0314
2 1016.9006 0.0133321005 0.0168 -0.0157 -0.0024 0.058798 1.858892 1.898415 0.000165 0.0505
3 1018.7537 0.0001377784 0.0015 0.0018 0.0000 0.005972 2.742634 2.982793 0.000159 0.0124
4 1019.1772 0.0017390204 -0.0043 0.0071 0.0010 0.021212 2.769544 2.987001 0.000186 0.0243
5 1019.6829 0.0010575253 -0.0056 -0.0028 0.0019 0.016537 2.475866 2.718582 0.000140 0.0172
6 1019.9661 0.0000359482 -0.0007 0.0010 -0.0001 0.003049 1.068517 4.132421 0.000018 0.0024
7 1020.6131 0.0000214544 -0.0002 0.0008 -0.0003 0.002354 1.265330 4.025746 0.000076 0.0082
8 1021.6014 0.0020734284 -0.0065 -0.0060 0.0024 0.023134 2.034227 2.789961 0.000182 0.0175
9 1022.2221 0.0010372293 0.0054 -0.0035 -0.0004 0.016358 1.772135 2.831181 0.000335 0.0372
10 1022.2977 0.0000069745 0.0002 -0.0000 -0.0005 0.001341 2.539129 3.144001 0.000276 0.0280
11 1022.7302 0.0057444615 0.0150 0.0015 -0.0017 0.038486 1.806006 2.325915 0.000560 0.0520
12 1022.9346 0.0014986149 -0.0027 -0.0072 -0.0004 0.019655 1.840926 1.956600 0.000332 0.0603
13 1024.2316 0.0000138082 0.0006 0.0001 -0.0004 0.001885 0.815090 3.022183 0.000045 0.0088
14 1024.8344 0.0008321593 -0.0054 0.0020 -0.0001 0.014633 0.918950 2.977966 0.000140 0.0128
15 1025.3655 0.0092870088 0.0162 -0.0104 -0.0005 0.048871 1.707987 1.813609 0.000509 0.0457
16 1026.0914 0.0007607508 -0.0035 0.0042 0.0003 0.013982 1.274638 2.842452 0.000147 0.0179
17 1026.2421 0.0014329826 -0.0004 -0.0073 0.0019 0.019189 1.963874 2.182833 0.000084 0.0210
18 1027.2421 0.0001312458 -0.0005 0.0020 0.0009 0.005804 1.911770 2.274451 0.000160 0.0363
19 1027.2431 0.0000000000 0.0000 -0.0000 0.0000 0.000000 0.727343 22.490665 0.000000 0.0000
20 1027.5653 0.0001537314 -0.0008 0.0016 0.0017 0.006281 1.460843 2.861217 0.000111 0.0131
21 1028.2923 0.0005213209 0.0039 -0.0010 -0.0021 0.011562 1.860213 2.320633 0.000359 0.0581
22 1028.9334 0.0000521512 -0.0002 -0.0003 0.0014 0.003656 0.970250 3.038014 0.000070 0.0110
23 1029.8071 0.0015556275 -0.0035 -0.0070 0.0002 0.019959 1.495493 2.585142 0.000311 0.0572
24 1030.0811 0.0001439804 -0.0013 0.0020 0.0001 0.006071 1.507372 3.920849 0.000024 0.0071
25 1030.5286 0.0000843714 0.0015 -0.0010 -0.0004 0.004646 1.012313 2.887786 0.000049 0.0081
26 1030.6464 0.0001820799 -0.0020 0.0018 -0.0002 0.006825 1.571372 3.212137 0.000085 0.0169
27 1032.5350 0.0001278457 -0.0007 0.0021 0.0003 0.005714 1.360096 2.967623 0.000023 0.0074
28 1033.4822 0.0002143048 -0.0026 -0.0013 -0.0002 0.007395 1.981284 2.791567 0.000061 0.0360
29 1033.6215 0.0001900216 0.0005 0.0027 0.0004 0.006963 2.126645 2.750493 0.000021 0.0278
30 1035.1245 0.0002579967 0.0011 -0.0030 -0.0003 0.008107 1.274411 2.877333 0.000040 0.0110
31 1035.3495 0.0032377035 -0.0017 -0.0112 0.0001 0.028716 1.355407 1.536791 0.000182 0.0195
32 1035.7222 0.0054991371 0.0034 0.0143 -0.0002 0.037418 1.450378 1.604669 0.000284 0.0249
33 1036.2327 0.0000000000 -0.0000 -0.0000 0.0000 0.000000 0.730635 22.640631 0.000000 0.0000
34 1036.3928 0.0000000000 -0.0000 -0.0000 0.0000 0.000000 0.602142 22.485574 0.000000 0.0000
35 1036.7694 0.0000546339 0.0004 0.0014 -0.0001 0.003728 0.945362 4.220249 0.000028 0.0024
36 1037.2963 0.0000362943 0.0004 0.0011 -0.0002 0.003038 0.764362 4.146626 0.000029 0.0026
37 1040.5212 0.0000081963 0.0000 -0.0005 0.0002 0.001441 0.995955 2.917221 0.000067 0.0091
38 1040.8070 0.0028647478 -0.0060 0.0087 0.0007 0.026941 1.888923 2.033134 0.000068 0.0170
39 1041.9963 0.0004003930 -0.0024 0.0029 0.0013 0.010066 1.362004 2.904366 0.000094 0.0191
40 1043.2301 0.0000285911 -0.0000 -0.0001 0.0011 0.002688 0.765794 2.847899 0.000013 0.0035
41 1044.0453 0.0000488110 -0.0009 -0.0005 0.0009 0.003511 1.480661 2.971498 0.000032 0.0065
42 1044.5691 0.0002576602 -0.0004 0.0031 -0.0002 0.008065 1.774291 3.012837 0.000041 0.0086
43 1044.9238 0.0001231933 0.0009 -0.0020 0.0001 0.005576 2.198924 2.856118 0.000051 0.0061
44 1045.1154 0.0002630713 -0.0028 0.0015 0.0007 0.008147 1.913875 2.866437 0.000030 0.0051
45 1045.3924 0.0015727578 -0.0050 0.0057 -0.0019 0.019918 1.742124 2.627038 0.000033 0.0088
