State  Frequency(eV)  OscillatorStrength  TransitionMoment_x  y  z  Trans.Dipole.Mom.(D) e-size(A)  RMS_e-h(A)  QTa  LOCa
1 518.1284 0.0023421229 0.0026 -0.0128 0.0036 0.034525 2.567720 3.375962 0.004956 0.0815
2 519.4891 0.0037234623 -0.0050 -0.0089 -0.0137 0.043475 3.056247 3.248923 0.003109 0.1043
3 519.8078 0.0060849583 -0.0075 -0.0187 -0.0084 0.055560 3.069861 3.447710 0.002600 0.0487
4 520.4586 0.0018387431 0.0050 -0.0053 -0.0095 0.030523 2.903154 3.980532 0.001526 0.0487
5 520.9494 0.0015365785 -0.0058 -0.0091 0.0022 0.027889 3.148877 3.879061 0.001578 0.0351
6 521.5812 0.0032838794 -0.0094 0.0130 -0.0008 0.040746 2.709786 3.374983 0.001781 0.0553
7 522.3366 0.0078030202 0.0133 0.0043 0.0203 0.062764 2.994476 3.483218 0.005880 0.1122
8 523.0090 0.0013357555 -0.0097 0.0017 -0.0027 0.025951 3.013627 3.971528 0.001639 0.0611
9 523.7642 0.0067740486 -0.0115 -0.0083 0.0181 0.058400 2.728514 3.353796 0.002395 0.0957
10 524.0804 0.0043220085 -0.0148 -0.0059 0.0092 0.046633 2.449274 3.419762 0.002614 0.1213
11 524.3852 0.0003116747 -0.0014 -0.0033 0.0034 0.012519 2.653342 3.175940 0.001444 0.1576
12 524.7496 0.0034865153 -0.0086 -0.0113 -0.0084 0.041857 2.753032 2.865172 0.001979 0.1658
13 525.0912 0.0092475663 -0.0187 0.0185 -0.0052 0.068147 3.146625 3.625931 0.003054 0.0892
14 525.6031 0.0058217480 0.0153 -0.0125 -0.0080 0.054044 3.234588 3.713668 0.001307 0.0860
15 525.6978 0.0052794951 -0.0141 0.0002 0.0146 0.051461 3.052079 3.328092 0.002000 0.0821
16 526.1104 0.0089411114 0.0135 -0.0107 0.0199 0.066944 2.477154 3.579497 0.004331 0.1057
17 526.2603 0.0026449587 -0.0023 -0.0140 -0.0022 0.036405 3.252294 4.070112 0.001983 0.1035
18 526.4926 0.0028082997 -0.0043 -0.0133 -0.0048 0.037504 3.171430 3.779494 0.001711 0.1293
19 526.7277 0.0003580028 0.0040 0.0026 0.0023 0.013388 3.115571 3.745283 0.000842 0.1060
20 526.9133 0.0071657825 0.0196 0.0095 0.0091 0.059885 3.297646 3.622488 0.001567 0.0889
21 527.1918 0.0014114138 -0.0027 0.0049 0.0088 0.026570 3.126150 3.391944 0.000860 0.0886
22 527.2714 0.0020252711 0.0077 0.0068 0.0071 0.031826 2.842455 4.000712 0.001615 0.0762
23 527.6661 0.0103874931 0.0148 0.0092 0.0224 0.072049 3.177009 3.695672 0.002986 0.1174
24 527.6912 0.0034810937 0.0026 -0.0162 -0.0011 0.041708 3.317984 3.866873 0.002154 0.1023
25 528.0418 0.0013125780 0.0022 0.0033 -0.0093 0.025602 3.312954 3.788091 0.000809 0.0534
26 528.7661 0.0008056235 -0.0053 0.0040 -0.0043 0.020044 3.007908 3.609938 0.001235 0.0681
27 528.9534 0.0005714486 -0.0013 -0.0030 0.0058 0.016878 3.194001 3.761306 0.000456 0.0682
28 529.1865 0.0029141653 0.0017 -0.0104 0.0107 0.038107 3.113818 3.639174 0.001351 0.0861
29 529.8345 0.0013697877 0.0069 -0.0010 0.0076 0.026110 3.124267 3.723454 0.001329 0.1198
30 530.5060 0.0006512372 -0.0032 0.0030 -0.0056 0.017992 3.196131 3.952154 0.000530 0.0752
31 530.9030 0.0010023556 -0.0009 -0.0079 -0.0037 0.022313 3.002894 3.800565 0.000685 0.0915
32 531.3537 0.0007246607 0.0064 -0.0006 -0.0037 0.018964 2.768623 3.289975 0.000605 0.1443
33 531.9978 0.0010278468 0.0020 0.0016 0.0085 0.022572 2.872860 3.496931 0.002201 0.1327
34 532.0259 0.0012767806 0.0025 0.0051 0.0081 0.025156 2.875804 3.424158 0.001762 0.0914
35 532.7191 0.0019449348 0.0018 -0.0046 -0.0112 0.031028 2.971712 3.689629 0.001301 0.1363
36 533.4147 0.0003497584 -0.0000 0.0046 -0.0023 0.013149 2.696953 3.556503 0.000894 0.0835
37 533.5414 0.0025760970 -0.0077 -0.0105 0.0052 0.035682 2.633922 3.108358 0.000782 0.1936
38 534.1830 0.0006670549 0.0053 -0.0035 0.0033 0.018146 2.752535 3.424293 0.001530 0.1890
39 534.6966 0.0005821906 -0.0041 -0.0038 -0.0036 0.016945 2.784712 3.273192 0.001019 0.1353
40 535.1103 0.0000619629 0.0014 0.0011 0.0013 0.005526 2.659612 3.295665 0.001123 0.1669
41 535.7237 0.0004378033 -0.0011 0.0031 -0.0047 0.014680 2.836153 3.794902 0.001007 0.0600
42 536.1817 0.0027903553 -0.0041 0.0113 -0.0082 0.037045 2.956427 3.372969 0.000551 0.1323
43 536.5495 0.0008292352 0.0065 -0.0020 -0.0042 0.020188 2.989749 3.426179 0.000672 0.1326
44 536.7188 0.0001654625 -0.0032 -0.0007 0.0013 0.009016 3.105121 3.639375 0.000597 0.1262
45 537.6558 0.0001511911 0.0008 -0.0025 0.0021 0.008611 2.811052 3.209459 0.001285 0.1497
46 537.7631 0.0002984566 0.0036 0.0005 0.0031 0.012098 3.025673 3.478624 0.000538 0.1104
47 538.0163 0.0003493389 0.0019 0.0047 -0.0006 0.013085 2.816580 3.421426 0.000749 0.2186
48 538.4207 0.0000848413 0.0018 -0.0014 0.0011 0.006446 3.127683 3.879239 0.000737 0.1199
49 538.9074 0.0030466745 -0.0127 0.0079 -0.0027 0.038611 2.990437 3.378802 0.001055 0.1837
50 539.2958 0.0015602860 0.0005 -0.0094 0.0054 0.027621 2.950396 3.194043 0.001713 0.1837
