State  Frequency(eV)  OscillatorStrength  TransitionMoment_x  y  z  Trans.Dipole.Mom.(D) e-size(A)  RMS_e-h(A)  QTa  LOCa
1 518.0807 0.0019920317 0.0121 -0.0003 -0.0032 0.031842 3.068261 3.949498 0.005172 0.0555
2 518.9627 0.0012816711 0.0032 -0.0089 0.0033 0.025520 3.228848 3.825169 0.004567 0.0585
3 519.2047 0.0005416516 -0.0016 -0.0053 0.0034 0.016586 3.348585 4.322126 0.001653 0.0213
4 519.8272 0.0013801861 0.0022 0.0059 0.0083 0.026460 4.041898 4.475574 0.002081 0.0234
5 520.3655 0.0056083942 0.0198 0.0001 0.0068 0.053311 3.591449 3.899513 0.005216 0.0854
6 520.5040 0.0003523832 0.0051 0.0000 -0.0011 0.013361 3.982282 4.523294 0.002197 0.0402
7 520.6052 0.0039785819 -0.0164 -0.0053 0.0038 0.044891 3.833103 4.058476 0.004362 0.0519
8 520.9322 0.0003873559 0.0050 -0.0009 -0.0020 0.014003 3.664446 4.824799 0.002257 0.0203
9 520.9455 0.0021182570 -0.0125 0.0022 0.0021 0.032745 4.285936 4.424625 0.003794 0.0528
10 521.1813 0.0006599864 -0.0032 0.0030 0.0057 0.018274 4.122913 4.258854 0.001897 0.0206
11 521.7680 0.0021585263 -0.0106 0.0005 0.0075 0.033029 3.636177 4.267011 0.002770 0.0354
12 521.9856 0.0021314211 -0.0026 0.0104 -0.0071 0.032814 3.726568 4.031557 0.002500 0.0790
13 522.3465 0.0038750198 -0.0099 0.0067 -0.0126 0.044229 3.575485 3.986795 0.001981 0.0515
14 522.8575 0.0021054264 0.0107 0.0066 0.0023 0.032586 3.474487 3.787090 0.001102 0.0752
15 522.9975 0.0059517499 -0.0127 0.0167 0.0048 0.054780 3.662261 3.664952 0.002385 0.0896
16 523.1928 0.0037783571 -0.0034 -0.0112 -0.0126 0.043639 3.658329 3.878637 0.001542 0.0599
17 523.4935 0.0033722838 0.0018 -0.0057 0.0151 0.041215 3.834308 3.863337 0.002029 0.0533
18 523.8780 0.0049641629 0.0172 0.0029 -0.0091 0.049987 3.464663 3.987530 0.003546 0.0507
19 524.1779 0.0006062567 0.0050 0.0023 0.0041 0.017464 3.538867 3.573805 0.001120 0.0589
20 524.3836 0.0013294531 -0.0093 0.0022 0.0034 0.025856 3.623348 3.888304 0.002709 0.0726
21 524.6882 0.0007017559 -0.0010 0.0066 -0.0031 0.018780 3.634178 4.130675 0.001630 0.0627
22 524.8265 0.0033664689 -0.0093 0.0131 0.0018 0.041128 3.471324 3.809033 0.002268 0.0493
23 524.8415 0.0058266711 0.0005 0.0208 -0.0047 0.054106 3.545412 3.592781 0.004250 0.1514
24 525.2184 0.0025581563 -0.0079 0.0083 -0.0082 0.035838 3.719887 3.841806 0.001986 0.0504
