Gaussian broadening with full width at half max of   3.000   eV
        Energy(eV)              Intensity (arb. units)
   1000.0000000000000        2.1133818616834997E-039
   1000.0100000000000        2.3382410899200980E-039
   1000.0200000000000        2.5868654607496166E-039
   1000.0300000000000        2.8617496487637249E-039
   1000.0400000000000        3.1656483898431889E-039
   1000.0500000000000        3.5016034007210968E-039
   1000.0599999999999        3.8729730650441324E-039
   1000.0700000000001        4.2834651681647401E-039
   1000.0800000000000        4.7371729914394894E-039
   1000.0900000000000        5.2386151083570028E-039
   1000.1000000000000        5.7927792592599832E-039
   1000.1100000000000        6.4051707196661114E-039
   1000.1200000000000        7.0818656189918278E-039
   1000.1300000000000        7.8295697126080216E-039
   1000.1400000000000        8.6556831608618413E-039
   1000.1500000000000        9.5683719244789863E-039
   1000.1600000000000        1.0576646447120245E-038
   1000.1700000000000        1.1690448363357521E-038
   1000.1799999999999        1.2920746044556492E-038
   1000.1900000000001        1.4279639876807017E-038
   1000.2000000000000        1.5780478254699505E-038
   1000.2100000000000        1.7437985373784173E-038
   1000.2200000000000        1.9268402012558547E-038
   1000.2300000000000        2.1289640614690528E-038
   1000.2400000000000        2.3521456113075660E-038
   1000.2500000000000        2.5985634081662912E-038
   1000.2600000000000        2.8706197959518044E-038
   1000.2700000000000        3.1709637265876672E-038
   1000.2800000000000        3.5025158916486286E-038
   1000.2900000000000        3.8684963962060439E-038
   1000.3000000000000        4.2724552301047176E-038
   1000.3099999999999        4.7183058173131291E-038
   1000.3200000000001        5.2103619519353125E-038
   1000.3300000000000        5.7533784601272349E-038
   1000.3400000000000        6.3525959610050172E-038
   1000.3500000000000        7.0137901364918622E-038
   1000.3600000000000        7.7433259609435018E-038
   1000.3700000000000        8.5482173859914018E-038
   1000.3800000000000        9.4361930251930432E-038
   1000.3900000000000        1.0415768437012567E-037
   1000.4000000000000        1.1496325663897095E-037
   1000.4100000000000        1.2688200750273873E-037
   1000.4200000000000        1.4002780033732496E-037
   1000.4299999999999        1.5452606082104963E-037
   1000.4400000000001        1.7051494235305708E-037
   1000.4500000000000        1.8814660805229506E-037
   1000.4600000000000        2.0758864091208295E-037
   1000.4700000000000        2.2902559481853031E-037
   1000.4800000000000        2.5266070039841011E-037
   1000.4900000000000        2.7871774103137943E-037
   1000.5000000000000        3.0744311586980255E-037
   1000.5100000000000        3.3910810836311845E-037
   1000.5200000000000        3.7401138059879346E-037
   1000.5300000000000        4.1248171576350989E-037
   1000.5400000000000        4.5488103321383828E-037
   1000.5500000000000        5.0160770304317230E-037
   1000.5599999999999        5.5310018966257912E-037
   1000.5700000000001        6.0984105679983266E-037
   1000.5800000000000        6.7236136948190363E-037
   1000.5900000000000        7.4124553205277958E-037
   1000.6000000000000        8.1713660506447869E-037
